Index,Time Stamp (s),Intensity
5,0,142.8484052
6,.033,142.8346735
7,.066,142.834863
8,.099,142.8420742
9,.132,142.5530411
10,.165,142.5549711
11,.198,142.5557171
12,.231,142.5548524
13,.264,143.5107798
14,.297,143.5112437
15,.330,143.5130575
16,.363,144.0084197
17,.396,144.0097314
18,.429,144.0118562
19,.462,144.0099961
20,.495,143.7279297
21,.528,143.7300979
22,.561,143.7313059
23,.594,143.7299783
24,.627,144.4958136
25,.660,144.4972897
26,.693,144.4985484
27,.726,143.7410127
28,.759,143.7433574
29,.792,143.7440273
30,.825,143.7430695
31,.858,144.1611367
32,.891,144.1625521
33,.924,144.1641102
34,.957,144.1625169
35,.990,142.6850911
36,1.023,142.6862659
37,1.056,142.6880613
38,1.089,140.668029
39,1.122,140.6692921
40,1.155,140.6702353
41,1.188,140.6692578
42,1.221,140.749838
43,1.254,140.7523047
44,1.287,140.7525338
45,1.320,140.7525632
46,1.353,141.5446788
47,1.386,141.5461728
48,1.419,141.5471301
49,1.452,142.5693374
50,1.485,142.5705406
51,1.518,142.5716358
52,1.551,142.5708965
53,1.584,141.8307079
54,1.617,141.8324479
55,1.650,141.8339525
56,1.683,141.8323505
57,1.716,141.7468084
58,1.749,141.7488947
59,1.782,141.7501389
60,1.815,141.7491117
61,1.848,141.75985
62,1.881,141.7620105
63,1.914,141.7638257
64,1.947,141.7407943
65,1.980,141.7426712
66,2.013,141.7440225
67,2.046,141.7428053
68,2.079,139.5067983
69,2.112,139.5096566
70,2.145,139.5103516
71,2.178,139.5091344
72,2.211,139.5757813
73,2.244,139.5782716
74,2.277,139.5788426
75,2.310,139.6541035
76,2.343,139.6558039
77,2.376,139.6569806
78,2.409,139.6556245
79,2.442,139.7657716
80,2.475,139.7668567
81,2.508,139.7674035
82,2.541,139.7667819
83,2.574,140.1498679
84,2.607,140.1519121
85,2.640,140.1528675
86,2.673,140.3850704
87,2.706,140.3857755
88,2.739,140.3870992
89,2.772,140.3857031
90,2.805,140.8769898
91,2.838,140.8736429
92,2.871,140.8774098
93,2.904,140.878466
94,2.937,140.6225424
95,2.970,140.6252527
96,3.003,140.6256911
97,3.036,140.5966816
98,3.069,140.5985687
99,3.102,140.5989492
100,3.135,140.5988006
101,3.168,140.9369637
102,3.201,140.9376886
103,3.234,140.938914
104,3.267,140.9379234
105,3.300,140.9267819
106,3.333,140.9287336
107,3.366,140.9290765
108,3.399,140.9287365
109,3.432,140.8833893
110,3.465,140.8854003
111,3.498,140.8859496
112,3.531,140.8988672
113,3.564,140.9018581
114,3.597,140.9029726
115,3.630,140.9018625
116,3.663,141.4256101
117,3.696,141.4273139
118,3.729,141.4278366
119,3.762,141.4270149
120,3.795,139.8080117
121,3.828,139.808015
122,3.861,139.8101857
123,3.894,140.8476336
124,3.927,140.8497637
125,3.960,140.8506944
126,3.993,140.849661
127,4.026,140.7181269
128,4.059,140.7202768
129,4.092,140.7213884
130,4.125,140.720558
131,4.158,140.4309655
132,4.191,140.4326587
133,4.224,140.4335942
134,4.257,141.1492414
135,4.290,141.1501673
136,4.323,141.1516889
137,4.356,141.1504374
138,4.389,141.5757682
139,4.422,141.5764916
140,4.455,141.5784438
141,4.488,141.5766387
142,4.521,141.18648
143,4.554,141.1872309
144,4.587,141.1884245
145,4.620,141.1316098
146,4.653,141.1323452
147,4.686,141.1332325
148,4.719,141.1322589
149,4.752,140.4182465
150,4.785,140.4199778
151,4.818,140.4177074
152,4.851,140.4200019
153,4.884,140.1539009
154,4.917,140.1559867
155,4.950,140.1568359
156,4.983,140.1561015
157,5.016,139.2024884
158,5.049,139.2051167
159,5.082,139.2055319
160,5.115,139.1986888
161,5.148,139.201319
162,5.181,139.1983449
163,5.214,139.2013788
164,5.247,139.5749662
165,5.280,139.5752951
166,5.313,139.5769155
167,5.346,139.5753482
168,5.379,139.5647275
169,5.412,139.5672169
170,5.445,139.5645771
171,5.478,139.6804847
172,5.511,139.6816194
173,5.544,139.6824484
174,5.577,139.6817945
175,5.610,139.7257272
176,5.643,139.727093
177,5.676,139.7278501
178,5.709,139.7271089
179,5.742,140.4738845
180,5.775,140.4754953
181,5.808,140.4735846
182,5.841,141.1879774
183,5.874,141.1886685
184,5.907,141.1904094
185,5.940,141.1890013
186,5.973,141.6187582
187,6.006,141.6192462
188,6.039,141.6204716
189,6.072,141.6192872
190,6.105,141.6219218
191,6.138,141.6234983
192,6.171,141.6248298
193,6.204,141.331645
194,6.237,141.3320192
195,6.270,141.3338223
196,6.303,141.3324132
197,6.336,140.9721484
198,6.369,140.9731872
199,6.402,140.9740075
200,6.435,140.9728742
201,6.468,139.7704234
202,6.501,139.7732383
203,6.534,139.7738103
204,6.567,139.773248
205,6.600,140.5003598
206,6.633,140.502553
207,6.666,140.5030551
208,6.699,140.3770775
209,6.732,140.3791966
210,6.765,140.3801167
211,6.798,140.3768731
212,6.831,138.1849002
213,6.864,138.1859076
214,6.897,138.1875309
215,6.930,138.1862992
216,6.963,138.3252783
217,6.996,138.3262124
218,7.029,138.3288223
219,7.062,138.9613735
220,7.095,138.9632388
221,7.128,138.9645177
222,7.161,138.9632735
223,7.194,139.6024725
224,7.227,139.6045631
225,7.260,139.6060566
226,7.293,139.6045872
227,7.326,138.370434
228,7.359,138.3729702
229,7.392,138.374021
230,7.425,137.2801649
231,7.458,137.2825473
232,7.491,137.2836863
233,7.524,137.2825902
234,7.557,137.073885
235,7.590,137.0750791
236,7.623,137.0765967
237,7.656,137.075408
238,7.689,137.8225723
239,7.722,137.8257644
240,7.755,137.8268499
241,7.788,137.1737153
242,7.821,137.1764381
243,7.854,137.1777922
244,7.887,137.1773167
245,7.920,136.5919334
246,7.953,136.5931269
247,7.986,136.5945332
248,8.019,136.5931742
249,8.052,136.2183555
250,8.085,136.2205223
251,8.118,136.2216102
252,8.151,135.8629413
253,8.184,135.8657152
254,8.217,135.8661646
255,8.250,135.8656173
256,8.283,135.3132446
257,8.316,135.3153998
258,8.349,135.3164878
259,8.382,135.3155633
260,8.415,136.5600256
261,8.448,136.5638011
262,8.481,136.5653376
263,8.514,136.5636101
264,8.547,136.1552754
265,8.580,136.157133
266,8.613,136.1590659
267,8.646,137.024021
268,8.679,137.0237013
269,8.712,137.026482
270,8.745,137.0269801
271,8.778,137.3345761
272,8.811,137.3345419
273,8.844,137.3386208
274,8.877,137.3395091
275,8.910,136.5658613
276,8.943,136.5654962
277,8.976,136.5688701
278,9.009,135.5949146
279,9.042,135.5958353
280,9.075,135.5979331
281,9.108,135.5981279
282,9.141,136.1203135
283,9.174,136.1230951
284,9.207,136.1244247
285,9.240,136.1232065
286,9.273,136.6284317
287,9.306,136.6303448
288,9.339,136.6314569
289,9.372,136.9565196
290,9.405,136.9565307
291,9.438,136.958656
292,9.471,136.9588542
293,9.504,136.7468398
294,9.537,136.747813
295,9.570,136.7503815
296,9.603,136.7507586
297,9.636,136.7489251
298,9.669,136.7507051
299,9.702,136.7485508
300,9.735,136.5218046
301,9.768,136.5199253
302,9.801,136.5211169
303,9.834,136.5229736
304,9.867,136.2075502
305,9.900,136.2070235
306,9.933,136.2096475
307,9.966,136.2099633
308,9.999,135.9465533
309,10.032,135.9462992
310,10.065,135.9484211
311,10.098,135.948914
312,10.131,136.1536685
313,10.164,136.155856
314,10.197,136.1571079
315,10.230,135.7966609
316,10.263,135.7988932
317,10.296,135.7996219
318,10.329,135.7985783
319,10.362,136.0821571
320,10.395,136.0838156
321,10.428,136.0852267
322,10.461,136.0839063
323,10.494,135.9266623
324,10.527,135.9268316
325,10.560,135.9295505
326,10.593,136.1640533
327,10.626,136.166344
328,10.659,136.1672637
329,10.692,136.1675945
330,10.725,136.5865601
331,10.758,136.5819724
332,10.791,136.5832784
333,10.824,136.5850883
334,10.857,137.2989492
335,10.890,137.299879
336,10.923,137.3022309
337,10.956,137.3778323
338,10.989,137.3784163
339,11.022,137.3804784
340,11.055,137.3808126
341,11.088,137.5045674
342,11.121,137.506494
343,11.154,137.5083724
344,11.187,137.506686
345,11.220,138.5581096
346,11.253,138.5610614
347,11.286,138.5619999
348,11.319,138.8797796
349,11.352,138.8799629
350,11.385,138.8825902
351,11.418,138.881711
352,11.451,138.8886212
353,11.484,138.8863932
