Index,Time Stamp (s),Intensity
5,0,145.4694647
6,.033,145.4674503
7,.066,145.4605556
8,.099,145.1964361
9,.132,145.1991816
10,.165,145.2001447
11,.198,145.2595592
12,.231,145.2608854
13,.264,145.2627242
14,.297,145.4492646
15,.330,145.4464333
16,.363,145.4507779
17,.396,145.4517308
18,.429,145.4504104
19,.462,145.172609
20,.495,145.1670515
21,.528,145.769918
22,.561,145.7663392
23,.594,145.766278
24,.627,145.7648616
25,.660,145.7648852
26,.693,145.877066
27,.726,145.8728733
28,.759,145.872785
29,.792,145.9180671
30,.825,145.9164366
31,.858,145.9146446
32,.891,145.9148298
33,.924,145.7594628
34,.957,145.7573814
35,.990,145.1622811
36,1.023,145.1609949
37,1.056,145.1605507
38,1.089,145.159429
39,1.122,145.4771629
40,1.155,145.4752744
41,1.188,145.4743731
42,1.221,144.0602353
43,1.254,144.057541
44,1.287,144.0558782
45,1.320,144.0510537
46,1.353,142.7552088
47,1.386,142.7525434
48,1.419,142.7515316
49,1.452,141.7931342
50,1.485,141.7909809
51,1.518,141.7889583
52,1.551,141.7864212
53,1.584,141.7603072
54,1.617,141.757827
55,1.650,141.7565789
56,1.683,141.153886
57,1.716,141.148083
58,1.749,141.1452652
59,1.782,141.14519
60,1.815,140.2747883
61,1.848,140.2723225
62,1.881,140.2710069
63,1.914,140.2656067
64,1.947,139.3336246
65,1.980,139.3200024
66,2.013,139.3195771
67,2.046,139.3976162
68,2.079,139.3931983
69,2.112,139.3908251
70,2.145,139.0956997
71,2.178,139.0921721
72,2.211,139.0906964
73,2.244,139.0491045
74,2.277,139.0455276
75,2.310,139.046154
76,2.343,138.9528366
77,2.376,138.9479138
78,2.409,138.9451509
79,2.442,138.9454167
80,2.475,138.9390606
81,2.508,140.2124614
82,2.541,140.2065938
83,2.574,140.2029345
84,2.607,139.9719637
85,2.640,139.9661545
86,2.673,139.9603718
87,2.706,140.4480932
88,2.739,140.4438788
89,2.772,140.4398134
90,2.805,141.1771209
91,2.838,141.1750463
92,2.871,141.1721986
93,2.904,141.169401
94,2.937,140.953696
95,2.970,140.9478723
96,3.003,141.0478443
97,3.036,141.0386304
98,3.069,141.0357364
99,3.102,141.0281346
100,3.135,141.0272343
101,3.168,140.9768687
102,3.201,140.9731949
103,3.234,140.968303
104,3.267,140.1666715
105,3.300,140.1621513
106,3.333,140.1561878
107,3.366,140.1555107
108,3.399,140.1537418
109,3.432,139.5252189
110,3.465,139.521752
111,3.498,139.5194874
112,3.531,139.9871976
113,3.564,139.9842959
114,3.597,140.0358849
115,3.630,140.0323486
116,3.663,140.0266175
117,3.696,140.1408763
118,3.729,140.1369039
119,3.762,140.13405
120,3.795,140.1332398
121,3.828,139.928804
122,3.861,139.9251678
123,3.894,139.9266508
124,3.927,140.1494739
125,3.960,140.1454008
126,3.993,140.1442226
127,4.026,140.1437018
128,4.059,140.1964313
129,4.092,140.1929234
130,4.125,140.1905281
131,4.158,139.7840514
132,4.191,139.7804191
133,4.224,139.7776693
134,4.257,139.7756862
135,4.290,140.0949383
136,4.323,140.0934187
137,4.356,140.0900063
