Index,Time Stamp (s),Intensity
8,0,152.6451355
9,.033,152.6418297
10,.066,152.6418432
11,.099,152.5896253
12,.132,152.5890982
13,.165,152.5907118
14,.198,152.5889607
15,.231,152.8607152
16,.264,152.861209
17,.297,152.8621195
18,.330,152.8612032
19,.363,152.3343104
20,.396,152.3352686
21,.429,152.3359235
22,.462,152.33485
23,.495,152.3358845
24,.528,152.5887471
25,.561,152.5887881
26,.594,152.5903998
27,.627,152.5890046
28,.660,152.8073235
29,.693,152.8073298
30,.726,152.8082629
31,.759,152.8069859
32,.792,153.1546267
33,.825,153.1540808
34,.858,153.1551379
35,.891,153.1542848
36,.924,153.1553101
37,.957,153.7237293
38,.990,153.725584
39,1.023,153.7261921
40,1.056,153.7282137
41,1.089,153.7264747
42,1.122,153.7282176
43,1.155,153.5512384
44,1.188,153.5513349
45,1.221,153.5524966
46,1.254,153.5516155
47,1.287,153.1905802
48,1.320,153.1910764
49,1.353,153.1914675
50,1.386,153.1910455
51,1.419,153.1915943
52,1.452,152.5577995
53,1.485,152.5577749
54,1.518,152.5591546
55,1.551,152.5578231
56,1.584,152.5591242
57,1.617,150.8699359
58,1.650,150.8704389
59,1.683,150.8717009
60,1.716,150.870599
61,1.749,150.871808
62,1.782,150.8704765
63,1.815,150.6565856
64,1.848,150.6563542
65,1.881,150.6582547
66,1.914,150.6567448
67,1.947,151.8700424
68,1.980,151.8705888
69,2.013,151.8717221
70,2.046,151.8731404
71,2.079,151.8715461
72,2.112,151.9520809
73,2.145,151.9522034
74,2.178,151.9534891
75,2.211,151.9522627
76,2.244,151.9537158
77,2.277,152.8290881
78,2.310,152.829021
79,2.343,152.8301572
80,2.376,152.8289255
81,2.409,152.8301138
82,2.442,149.5892839
83,2.475,149.5886728
84,2.508,149.5902339
85,2.541,149.589036
86,2.574,149.5903173
87,2.607,149.1017921
88,2.640,149.1038932
89,2.673,149.1044811
90,2.706,149.1038301
91,2.739,149.1045467
92,2.772,149.2578477
93,2.805,149.2589834
94,2.838,149.2602112
95,2.871,149.2593229
96,2.904,149.6158227
97,2.937,149.6166339
98,2.970,149.6145279
99,3.003,149.6155927
100,3.036,149.6172902
101,3.069,149.6286912
102,3.102,149.6286753
103,3.135,149.6304755
104,3.168,149.6289169
105,3.201,149.6304234
106,3.234,149.6288117
107,3.267,148.4111019
108,3.300,148.4120563
109,3.333,148.4135344
110,3.366,148.412119
111,3.399,151.2712987
112,3.432,151.2732755
113,3.465,151.2743996
114,3.498,151.2731351
115,3.531,151.2745018
116,3.564,151.2731019
117,3.597,151.2744637
118,3.630,151.2731554
119,3.663,154.8892901
120,3.696,154.89155
121,3.729,154.8931617
122,3.762,154.89148
123,3.795,154.893099
124,3.828,157.0875448
125,3.861,157.0894623
126,3.894,157.0897902
127,3.927,157.0892308
128,3.960,157.0887534
129,3.993,157.6017289
130,4.026,157.6036844
131,4.059,157.6038537
132,4.092,157.6032716
133,4.125,157.6037867
134,4.158,158.2179008
135,4.191,158.2189
136,4.224,158.2196706
137,4.257,158.218832
138,4.290,158.2197541
139,4.323,158.2187138
140,4.356,158.949281
141,4.389,158.9512201
142,4.422,158.9516787
143,4.455,158.9514173
144,4.488,158.9517704
145,4.521,158.2847024
146,4.554,158.2858464
147,4.587,158.2861584
148,4.620,158.285911
149,4.653,158.2861531
150,4.686,156.5929273
151,4.719,156.5931752
152,4.752,156.5941165
153,4.785,156.5930599
154,4.818,156.5941459
155,4.851,156.1545573
156,4.884,156.1555985
157,4.917,156.1566247
