Index,Time Stamp (s),Intensity
1,0,118.3914337
2,.033,118.3899262
3,.066,118.3892207
4,.099,118.3908893
5,.132,118.3912924
6,.165,117.4196909
7,.198,117.4177942
8,.231,117.4192728
9,.264,117.4175931
10,.297,118.5094242
11,.330,118.5087852
12,.363,118.5104027
13,.396,118.5089646
14,.429,119.1117255
15,.462,119.1118977
16,.495,119.1130777
17,.528,119.1117718
18,.561,119.255449
19,.594,119.2544729
20,.627,119.2559626
21,.660,119.2547902
22,.693,119.8647772
23,.726,119.8644242
24,.759,119.865666
25,.792,119.8644893
26,.825,120.028995
27,.858,120.0290191
28,.891,120.0304586
29,.924,120.0290586
30,.957,122.7240374
31,.990,122.7241609
32,1.023,122.7235301
33,1.056,122.7255517
34,1.089,122.7233116
35,1.122,122.6078742
36,1.155,122.6070086
37,1.188,122.6077209
38,1.221,122.6070433
39,1.254,125.1116594
40,1.287,125.11102
41,1.320,125.1122897
42,1.353,125.1110041
43,1.386,125.5248592
44,1.419,125.5252103
45,1.452,125.5261989
46,1.485,125.525572
47,1.518,125.156942
48,1.551,125.1563715
49,1.584,125.1574788
50,1.617,125.156224
51,1.650,124.5530334
52,1.683,124.5534433
53,1.716,124.5541483
54,1.749,124.5534655
55,1.782,123.0948447
56,1.815,123.0948838
57,1.848,123.0955483
58,1.881,123.0949156
59,1.914,124.6927112
60,1.947,124.6940485
61,1.980,124.6935696
62,2.013,124.6947632
63,2.046,123.8695727
64,2.079,123.8702758
65,2.112,123.8709182
66,2.145,123.8706424
67,2.178,123.8711883
68,2.211,122.8295573
69,2.244,122.8293287
70,2.277,122.8300145
71,2.310,122.829021
72,2.343,123.2640398
73,2.376,123.2648447
74,2.409,123.2654707
75,2.442,123.2646147
76,2.475,124.2958873
77,2.508,124.2968456
78,2.541,124.2978328
79,2.574,124.296915
80,2.607,124.9663735
81,2.640,124.9667323
82,2.673,124.9690177
83,2.706,124.9669416
84,2.739,124.6077561
85,2.772,124.6079779
86,2.805,124.6085841
87,2.838,124.6080194
88,2.871,124.5705189
89,2.904,124.5701061
90,2.937,124.5713701
91,2.970,124.5695607
92,3.003,124.5745187
93,3.036,124.5750598
94,3.069,124.5759553
95,3.102,124.5748192
96,3.135,125.0160229
97,3.168,125.0165529
98,3.201,125.0172381
99,3.234,125.0165668
100,3.267,125.017364
101,3.300,125.9192511
102,3.333,125.9202691
103,3.366,125.9214675
104,3.399,125.9201403
105,3.432,124.598615
106,3.465,124.5980609
107,3.498,124.5996214
108,3.531,124.5978337
109,3.564,125.1143634
110,3.597,125.1144502
111,3.630,125.1152652
112,3.663,125.1144816
113,3.696,125.9126114
114,3.729,125.91284
115,3.762,125.9138074
116,3.795,125.9128882
117,3.828,127.2729437
118,3.861,127.2731882
119,3.894,127.2744435
120,3.927,127.2732726
121,3.960,125.8230035
122,3.993,125.8239087
123,4.026,125.8249797
124,4.059,125.8238845
125,4.092,126.1998235
126,4.125,126.199265
127,4.158,126.2004847
128,4.191,126.1989979
129,4.224,127.3549725
130,4.257,127.3553709
131,4.290,127.3562785
132,4.323,127.3558883
133,4.356,127.3563778
134,4.389,127.1979552
135,4.422,127.1974296
136,4.455,127.1985098
137,4.488,127.1972767
138,4.521,127.4750757
139,4.554,127.4763325
140,4.587,127.4769956
141,4.620,127.476263
142,4.653,127.618804
143,4.686,127.6205011
144,4.719,127.6214892
145,4.752,127.6205546
146,4.785,127.9582996
147,4.818,127.9583068
148,4.851,127.9589824
149,4.884,127.9582161
150,4.917,128.432039
151,4.950,128.4313378
152,4.983,128.4319049
153,5.016,128.4335441
