Index,Time Stamp (s),Intensity
2,0,132.7933565
3,.033,132.7747796
4,.066,132.777555
5,.099,132.7793437
6,.132,133.4852339
7,.165,133.4861526
8,.198,133.4871706
9,.231,131.8203651
10,.264,131.8215172
11,.297,131.8225723
12,.330,128.0311285
13,.363,128.0325357
14,.396,128.0338764
15,.429,128.0324354
16,.462,128.3424306
17,.495,128.3430305
18,.528,128.3446277
19,.561,128.3431289
20,.594,126.1603713
21,.627,126.1599219
22,.660,126.1611179
23,.693,124.232772
24,.726,124.2313465
25,.759,124.2344165
26,.792,125.5727951
27,.825,125.5726693
28,.858,125.5741406
29,.891,127.0315442
30,.924,127.0310798
31,.957,127.030341
32,.990,127.0291691
33,1.023,125.4328467
34,1.056,125.4308266
35,1.089,125.4336434
36,1.122,126.5517684
37,1.155,126.5498172
38,1.188,126.5526755
39,1.221,126.5520245
40,1.254,126.5526302
41,1.287,128.2759307
42,1.320,128.2777267
43,1.353,131.0457258
44,1.386,131.0447015
45,1.419,131.0464516
46,1.452,131.1251736
47,1.485,131.1252392
48,1.518,131.1263436
49,1.551,131.1271619
50,1.584,132.2701326
51,1.617,132.2666792
52,1.650,132.2694633
53,1.683,134.1534467
54,1.716,134.150801
55,1.749,134.1531853
56,1.782,134.1544131
57,1.815,134.1540186
58,1.848,134.682908
59,1.881,134.6818842
60,1.914,134.6837322
61,1.947,134.2319589
62,1.980,134.231237
63,2.013,134.5152508
64,2.046,134.5138961
65,2.079,134.5175116
66,2.112,134.51773
67,2.145,133.6990929
68,2.178,133.6989506
69,2.211,133.7010296
70,2.244,129.8921176
71,2.277,129.8923452
72,2.310,129.8939386
73,2.343,126.7654716
74,2.376,126.7668316
75,2.409,126.7686511
76,2.442,126.7664405
77,2.475,126.7685875
78,2.508,128.2086328
79,2.541,128.2078593
80,2.574,128.2095472
81,2.607,128.6663595
82,2.640,128.6642766
83,2.673,128.6673264
84,2.706,128.6672227
85,2.739,126.7601861
86,2.772,126.761563
87,2.805,127.6070057
88,2.838,127.6056202
89,2.871,127.6075516
90,2.904,127.6081829
91,2.937,130.8829408
92,2.970,130.8838411
93,3.003,130.8847425
94,3.036,130.8852426
95,3.069,135.9151466
96,3.102,135.9168861
97,3.135,135.9183565
98,3.168,135.9167766
99,3.201,136.6045071
100,3.234,136.6071017
101,3.267,137.2857702
102,3.300,137.2855628
103,3.333,137.2875926
104,3.366,138.8062428
105,3.399,138.8077199
106,3.432,138.8088166
107,3.465,138.8075511
108,3.498,140.6411145
109,3.531,140.6426109
110,3.564,140.6442207
111,3.597,142.0870549
112,3.630,142.0890476
113,3.663,142.0893432
114,3.696,142.0887225
115,3.729,143.4241628
116,3.762,143.4256279
117,3.795,143.426426
118,3.828,143.6363927
119,3.861,143.6378713
120,3.894,143.6394372
121,3.927,143.6351616
122,3.960,144.9147198
123,3.993,144.9130647
124,4.026,144.9169406
125,4.059,144.9164685
126,4.092,145.8917236
127,4.125,145.8929673
128,4.158,145.893573
129,4.191,145.8925555
130,4.224,146.2858497
131,4.257,146.2871345
132,4.290,147.4464106
133,4.323,147.4471267
134,4.356,147.4485031
135,4.389,147.4471841
136,4.422,147.876604
137,4.455,147.8769001
138,4.488,146.4321914
139,4.521,146.4311844
140,4.554,146.4328376
141,4.587,146.4328969
142,4.620,146.9906101
143,4.653,146.9921277
144,4.686,146.9939299
145,4.719,146.9916281
146,4.752,145.743749
147,4.785,145.74523
148,4.818,145.7463648
149,4.851,145.9298008
150,4.884,145.9290389
151,4.917,145.9257634
152,4.950,146.270841
153,4.983,146.267037
154,5.016,146.2713368
155,5.049,146.2765167
156,5.082,146.0737645
157,5.115,146.074931
158,5.148,146.0757171
159,5.181,146.0747777
160,5.214,144.5455314
161,5.247,144.5457634
162,5.280,142.7977083
163,5.313,142.7993302
