Index,Time Stamp (s),Intensity
2,0,137.6983078
3,.033,137.687637
4,.066,137.6850651
5,.099,137.6857788
6,.132,138.7589632
7,.165,138.7597164
8,.198,138.7601505
9,.231,139.5928747
10,.264,139.5930638
11,.297,139.5938194
12,.330,140.5737071
13,.363,140.5729697
14,.396,140.5741753
15,.429,140.5727426
16,.462,140.9804697
17,.495,140.9803236
18,.528,140.9828824
19,.561,140.9805377
20,.594,141.1274484
21,.627,141.127256
22,.660,141.1287621
23,.693,141.3955507
24,.726,141.3944078
25,.759,141.3963166
26,.792,141.2838657
27,.825,141.2828217
28,.858,141.2845573
29,.891,139.6884708
30,.924,139.6883049
31,.957,139.6887167
32,.990,139.688656
33,1.023,140.5548008
34,1.056,140.5548491
35,1.089,140.5560745
36,1.122,141.1695882
37,1.155,141.1694271
38,1.188,141.1708131
39,1.221,141.1697531
40,1.254,141.1710672
41,1.287,140.872689
42,1.320,140.8723722
43,1.353,141.2691483
44,1.386,141.2684578
45,1.419,141.2692429
46,1.452,141.4177156
47,1.485,141.4179041
48,1.518,141.4189709
49,1.551,141.4178405
50,1.584,141.7897049
51,1.617,141.7893031
52,1.650,141.7902045
53,1.683,140.1730199
54,1.716,140.1743359
55,1.749,140.1753453
56,1.782,140.174117
57,1.815,140.1754297
58,1.848,139.5662182
59,1.881,139.5648867
60,1.914,139.566685
61,1.947,137.4302296
62,1.980,137.4283488
63,2.013,138.4307234
64,2.046,138.431183
65,2.079,138.4319787
66,2.112,138.430896
67,2.145,138.3677242
68,2.178,138.3682528
69,2.211,138.3685214
70,2.244,139.3318721
71,2.277,139.3301403
72,2.310,139.3322449
73,2.343,138.4085436
74,2.376,138.4080454
75,2.409,138.4088595
76,2.442,138.4078897
77,2.475,138.4088735
78,2.508,137.9155411
79,2.541,137.91697
80,2.574,137.9172449
81,2.607,136.5464492
82,2.640,136.5448626
83,2.673,136.5466213
84,2.706,136.5447227
85,2.739,138.7468726
86,2.772,138.7453834
87,2.805,138.8230527
88,2.838,138.8215697
89,2.871,138.8226924
90,2.904,138.8212312
91,2.937,139.0283362
92,2.970,139.0282012
93,3.003,139.0301162
94,3.036,139.0281501
95,3.069,137.3900473
96,3.102,137.3882538
97,3.135,137.3894835
98,3.168,137.3877117
99,3.201,138.0007653
100,3.234,137.9983869
101,3.267,138.4365471
102,3.300,138.4347497
103,3.333,138.4362346
104,3.366,138.6181202
105,3.399,138.6179924
106,3.432,138.6193133
107,3.465,138.6180372
108,3.498,139.8544102
109,3.531,139.8534076
110,3.564,139.8551046
111,3.597,137.6285778
112,3.630,137.6288956
113,3.663,137.6301133
114,3.696,137.6287731
115,3.729,137.5004369
116,3.762,137.4994179
117,3.795,137.5005753
118,3.828,137.0458343
119,3.861,137.0456182
120,3.894,137.0465644
121,3.927,137.0441575
122,3.960,135.7674035
123,3.993,135.7675116
124,4.026,135.7687736
125,4.059,135.767363
126,4.092,135.8756481
127,4.125,135.8763045
128,4.158,135.8772854
129,4.191,135.8763141
130,4.224,136.0398891
131,4.257,136.0390967
132,4.290,136.8663132
133,4.323,136.8657456
134,4.356,136.8670211
135,4.389,136.865721
136,4.422,136.6337447
137,4.455,136.6318562
138,4.488,137.1157364
139,4.521,137.1142593
140,4.554,137.1162649
141,4.587,137.1140726
142,4.620,137.177173
143,4.653,137.1776804
144,4.686,137.1784327
145,4.719,137.1772145
146,4.752,137.1099764
147,4.785,137.1098139
148,4.818,137.1108873
149,4.851,137.9512645
150,4.884,137.951059
151,4.917,137.9498881
152,4.950,137.7328636
153,4.983,137.7310349
154,5.016,137.7325989
155,5.049,137.7306949
156,5.082,137.226047
157,5.115,137.2249981
158,5.148,137.2263199
159,5.181,137.2249002
160,5.214,137.3139014
161,5.247,137.3130507
162,5.280,137.7358589
163,5.313,137.735828
164,5.346,137.7364419
165,5.379,137.7359346
166,5.412,137.7363508
167,5.445,140.2902016
168,5.478,140.2906993
169,5.511,140.2917824
170,5.544,139.9404104
171,5.577,139.9385503
172,5.610,139.940463
173,5.643,140.4284018
174,5.676,140.4276042
175,5.709,140.4290099
176,5.742,140.5872463
177,5.775,140.5859534
178,5.808,140.5874879
179,5.841,140.5858025
180,5.874,139.8465644
181,5.907,139.8434529
182,5.940,139.8427551
183,5.973,139.8445226
184,6.006,138.9954818
185,6.039,138.994485
186,6.072,138.9957518
187,6.105,136.9641942
188,6.138,136.9639641
189,6.171,136.9653434
190,6.204,136.7712881
191,6.237,136.7708492
192,6.270,136.7723394
193,6.303,136.0394189
194,6.336,136.0374281
195,6.369,136.0393166
196,6.402,136.0374648
197,6.435,135.5601032
198,6.468,135.5583936
199,6.501,135.559837
200,6.534,135.5583198
201,6.567,134.4510658
202,6.600,134.4500106
203,6.633,134.4514125
204,6.666,134.1608382
205,6.699,134.1590606
206,6.732,134.1612129
207,6.765,134.112786
208,6.798,134.1109336
209,6.831,134.1129143
210,6.864,134.1111285
211,6.897,136.2237977
212,6.930,136.2235151
213,6.963,136.2249166
214,6.996,135.2590548
215,7.029,135.2573105
216,7.062,135.2593451
217,7.095,135.0466469
218,7.128,135.0460508
219,7.161,135.0470505
220,7.194,135.0458526
221,7.227,135.9827575
222,7.260,135.9798857
223,7.293,135.9817732
224,7.326,137.1777021
225,7.359,137.1774552
226,7.392,137.1789955
227,7.425,136.5974079
228,7.458,136.5972647
229,7.491,136.5982258
230,7.524,136.5968861
231,7.557,136.229062
232,7.590,136.2270192
233,7.623,136.2287201
234,7.656,136.2271084
235,7.689,135.3904046
236,7.722,135.3898949
237,7.755,133.4696875
238,7.788,133.4677488
239,7.821,133.4694102
240,7.854,133.4673447
241,7.887,133.4686719
242,7.920,135.4172695
243,7.953,135.4154152
244,7.986,135.4168282
245,8.019,135.415094
246,8.052,135.1871455
247,8.085,135.1861531
248,8.118,134.1462722
249,8.151,134.1457195
250,8.184,134.1463262
251,8.217,131.9808063
252,8.250,131.9785889
253,8.283,131.9796697
254,8.316,131.978316
255,8.349,132.7300979
256,8.382,132.7278694
257,8.415,132.7292925
258,8.448,132.7276924
259,8.481,133.1503221
260,8.514,133.1497936
261,8.547,133.1506708
262,8.580,133.4777276
263,8.613,133.4769184
264,8.646,133.4779287
265,8.679,134.6715292
266,8.712,134.6700082
267,8.745,134.6715823
268,8.778,133.9470983
269,8.811,133.9466016
270,8.844,133.9476321
271,8.877,133.944933
272,8.910,133.4235224
273,8.943,133.4227484
274,8.976,133.4239593
275,9.009,132.6079056
276,9.042,132.607134
277,9.075,132.6082904
278,9.108,132.6069565
279,9.141,133.6340514
280,9.174,133.6329856
281,9.207,133.6339448
282,9.240,133.6328901
283,9.273,133.8334447
284,9.306,133.8316522
285,9.339,135.7467269
286,9.372,135.7462939
287,9.405,135.7478911
288,9.438,135.7462109
289,9.471,134.8211531
290,9.504,134.8210122
291,9.537,134.8220988
292,9.570,135.4993948
293,9.603,135.4989241
294,9.636,135.5001326
295,9.669,135.4983936
296,9.702,138.3095891
297,9.735,138.3083729
298,9.768,138.3098635
299,9.801,138.6019734
300,9.834,138.6004379
301,9.867,138.6004847
302,9.900,137.6057393
303,9.933,137.6050125
304,9.966,137.6059722
305,9.999,137.6050251
306,10.032,137.6609457
307,10.065,137.6609963
308,10.098,137.6616966
309,10.131,137.6606168
310,10.164,136.1259172
311,10.197,136.1261603
312,10.230,136.1268789
313,10.263,136.1261203
314,10.296,135.6640905
315,10.329,135.6633671
316,10.362,135.664157
317,10.395,132.9858816
318,10.428,132.9841339
319,10.461,132.9855638
320,10.494,132.9840316
321,10.527,131.2707528
322,10.560,131.2691792
323,10.593,131.4544825
324,10.626,131.452282
325,10.659,131.4541884
326,10.692,131.4519198
327,10.725,130.3073312
328,10.758,130.3045669
329,10.791,130.3066223
330,10.824,130.9783521
331,10.857,130.9771407
332,10.890,130.9753974
333,10.923,130.9764771
334,10.956,130.8144531
335,10.989,130.8135089
336,11.022,130.8146171
337,11.055,130.9872618
338,11.088,130.9859423
339,11.121,130.9870886
340,11.154,131.6753101
341,11.187,131.6744686
342,11.220,131.6746769
343,11.253,131.674349
