Index,Time Stamp (s),Intensity
4,0,145.5114149
5,.033,145.4995255
6,.066,145.3335667
7,.099,145.3333063
8,.132,145.3342708
9,.165,145.3327638
10,.198,144.9772323
11,.231,144.9776726
12,.264,144.9787027
13,.297,145.0972227
14,.330,145.0970327
15,.363,145.097256
16,.396,144.812908
17,.429,144.8130739
18,.462,144.8139742
19,.495,144.2101389
20,.528,144.2097849
21,.561,144.2109385
22,.594,144.2094907
23,.627,144.2110311
24,.660,143.2886825
25,.693,143.2885002
26,.726,143.2899735
27,.759,142.8022647
28,.792,142.8012997
29,.825,142.8022762
30,.858,142.7663465
31,.891,142.7626408
32,.924,142.7627797
33,.957,142.7639622
34,.990,143.306223
35,1.023,143.3072396
36,1.056,143.3073794
37,1.089,142.3116956
38,1.122,142.3115476
39,1.155,142.3116324
40,1.188,141.7825699
41,1.221,141.783561
42,1.254,141.7842949
43,1.287,141.7836425
44,1.320,141.6384245
45,1.353,141.6373582
46,1.386,141.6385065
47,1.419,141.3252874
48,1.452,141.3244695
49,1.485,141.3251688
50,1.518,141.3245505
51,1.551,141.2881428
52,1.584,141.2874204
53,1.617,141.2881578
54,1.650,141.3068654
55,1.683,141.3068567
56,1.716,141.3080011
57,1.749,141.3068596
58,1.782,141.4376997
59,1.815,141.4379827
60,1.848,141.438708
61,1.881,141.3894565
62,1.914,141.3904654
63,1.947,141.3910031
64,1.980,141.3914849
65,2.013,141.9071996
66,2.046,141.9073843
67,2.079,141.9076427
68,2.112,141.5893933
69,2.145,141.589023
70,2.178,141.5898548
71,2.211,142.1896398
72,2.244,142.1885745
73,2.277,142.1899392
74,2.310,142.1887929
75,2.343,143.0419719
76,2.376,143.0420216
77,2.409,143.0425965
78,2.442,142.8644772
79,2.475,142.8644382
80,2.508,142.8648814
81,2.541,142.8842945
82,2.574,142.8850526
83,2.607,142.8854398
84,2.640,142.8847777
85,2.673,142.2783594
86,2.706,142.2780546
87,2.739,142.2790162
88,2.772,142.2772651
89,2.805,142.2775405
90,2.838,142.2786757
91,2.871,142.2764902
92,2.904,141.9385412
93,2.937,141.937269
94,2.970,141.9384095
95,3.003,141.9373476
96,3.036,141.7687389
97,3.069,141.7686246
98,3.102,142.4351543
99,3.135,142.4361796
100,3.168,142.4363942
101,3.201,142.4359698
102,3.234,142.4849484
103,3.267,142.4849629
104,3.300,142.4848052
105,3.333,142.4847275
106,3.366,142.4039014
107,3.399,142.4040485
108,3.432,142.4047405
109,3.465,142.2421624
110,3.498,142.242092
111,3.531,142.2425285
112,3.564,142.242038
113,3.597,142.1383126
114,3.630,142.1378926
115,3.663,142.138275
116,3.696,141.7593789
117,3.729,141.7582557
118,3.762,141.7596827
119,3.795,142.3070684
120,3.828,142.3075188
121,3.861,142.3068465
