Index,Time Stamp (s),Intensity
3,0,148.4631269
4,.033,148.4529205
5,.066,148.4509727
6,.099,148.4513498
7,.132,148.3884549
8,.165,148.3882803
9,.198,148.3893422
10,.231,147.5987379
11,.264,147.6005305
12,.297,147.6018832
13,.330,147.5466845
14,.363,147.5473389
15,.396,147.5479307
16,.429,147.9508695
17,.462,147.9517612
18,.495,147.9523978
19,.528,148.4178082
20,.561,148.4192911
21,.594,148.4196142
22,.627,148.4190239
23,.660,149.0227107
24,.693,149.0230883
25,.726,149.0238378
26,.759,149.0568605
27,.792,149.0570332
28,.825,149.0580642
29,.858,149.0566686
30,.891,148.3233594
31,.924,148.3209515
32,.957,148.32167
33,.990,149.8625805
34,1.023,149.8638874
35,1.056,149.8644594
36,1.089,149.8639419
37,1.122,149.6493962
38,1.155,149.6491922
39,1.188,149.6502228
40,1.221,148.8537307
41,1.254,148.8539009
42,1.287,148.8546726
43,1.320,147.0672386
44,1.353,147.0686892
45,1.386,147.0693827
46,1.419,147.0687032
47,1.452,148.1292665
48,1.485,148.1297955
49,1.518,148.1305155
50,1.551,149.8525858
51,1.584,149.8529606
52,1.617,149.8539844
53,1.650,149.8531221
54,1.683,150.2442998
55,1.716,150.2437457
56,1.749,150.2451886
57,1.782,149.8803569
58,1.815,149.8811227
59,1.848,149.8824715
60,1.881,149.8808271
61,1.914,150.5717949
62,1.947,150.5725564
63,1.980,150.5740345
64,2.013,150.0588845
65,2.046,150.0587592
66,2.079,150.0589911
67,2.112,149.3712394
68,2.145,149.3714685
69,2.178,149.3719599
70,2.211,149.3712818
71,2.244,148.5952686
72,2.277,148.5960595
73,2.310,148.5969353
74,2.343,149.1867877
75,2.376,149.1873302
76,2.409,149.1879408
77,2.442,149.1874706
78,2.475,148.6378651
79,2.508,148.6383893
80,2.541,148.6395915
81,2.574,149.4695843
82,2.607,149.4705522
83,2.640,149.4712466
84,2.673,149.4046658
85,2.706,149.4047733
86,2.739,149.4057186
87,2.772,149.4046364
88,2.805,149.4876061
89,2.838,149.4871692
90,2.871,149.4882687
91,2.904,149.2292617
92,2.937,149.2318591
93,2.970,149.2327763
94,3.003,149.2318547
95,3.036,149.722214
96,3.069,149.7229215
97,3.102,149.7234356
98,3.135,149.8819483
99,3.168,149.8818711
100,3.201,149.8831732
101,3.234,149.8819338
102,3.267,150.4542593
103,3.300,150.4541001
104,3.333,150.4552006
105,3.366,150.3624822
106,3.399,150.3631231
107,3.432,150.3640673
108,3.465,150.3427498
109,3.498,150.3428988
110,3.531,150.3440066
111,3.564,150.3427107
112,3.597,149.8772531
113,3.630,149.8780078
114,3.663,149.8789005
115,3.696,149.6179147
116,3.729,149.6179051
117,3.762,149.6184949
118,3.795,149.6178752
119,3.828,149.7943359
120,3.861,149.7940427
121,3.894,149.7944642
122,3.927,150.3625487
123,3.960,150.3633155
124,3.993,150.3640654
125,4.026,149.9086463
126,4.059,149.9096996
127,4.092,149.9101191
128,4.125,149.9097454
129,4.158,149.5974441
130,4.191,149.5982354
131,4.224,149.5994391
132,4.257,149.7890013
133,4.290,149.7888662
134,4.323,149.7901596
135,4.356,149.7887818
136,4.389,151.1545824
137,4.422,151.1557697
138,4.455,151.1559404
139,4.488,151.4555353
140,4.521,151.455585
141,4.554,151.4563146
142,4.587,151.4554389
143,4.620,151.8564212
144,4.653,151.8573515
145,4.686,151.8588942
146,4.719,151.0986232
147,4.752,151.0999412
148,4.785,151.1000598
149,4.818,151.1034298
150,4.851,151.1057017
151,4.884,151.0983946
152,4.917,151.3655107
153,4.950,151.3670047
154,4.983,151.367269
155,5.016,151.3664694
156,5.049,151.5988387
157,5.082,151.6001133
158,5.115,151.6006486
159,5.148,151.5999031
160,5.181,151.6744898
161,5.214,151.6753511
162,5.247,151.675762
163,5.280,151.4806216
164,5.313,151.480409
165,5.346,151.4814169
166,5.379,151.0887529
167,5.412,151.089566
168,5.445,151.0903361
169,5.478,151.0898302
170,5.511,152.4018277
171,5.544,152.4031621
172,5.577,152.4042718
173,5.610,152.1888981
174,5.643,152.190503
175,5.676,152.1913407
176,5.709,152.1903135
177,5.742,151.3393938
178,5.775,151.3406756
179,5.808,151.3416223
180,5.841,151.340366
181,5.874,151.3799007
182,5.907,151.3813624
183,5.940,151.2404321
184,5.973,151.2404056
185,6.006,151.24193
186,6.039,151.2401881
187,6.072,151.241944
188,6.105,151.3001591
189,6.138,151.301006
190,6.171,152.4404509
191,6.204,152.4413643
192,6.237,152.4417805
193,6.270,152.440993
194,6.303,152.272296
195,6.336,152.2714998
196,6.369,152.2722926
197,6.402,152.3295259
198,6.435,152.3293383
199,6.468,152.3305498
200,6.501,152.8602498
201,6.534,152.8604765
202,6.567,152.861358
203,6.600,152.8607258
204,6.633,151.9346229
205,6.666,151.9352271
206,6.699,151.9361516
207,6.732,151.9350429
208,6.765,151.9341676
209,6.798,151.9353385
210,6.831,151.9353236
211,6.864,152.2304837
212,6.897,152.2323987
213,6.930,152.2330802
214,6.963,152.9914116
215,6.996,152.9924879
216,7.029,152.9932552
217,7.062,152.9925733
218,7.095,153.5003824
219,7.128,153.5009414
220,7.161,153.5016112
221,7.194,153.6875574
222,7.227,153.6874908
223,7.260,153.6872319
224,7.293,153.7187056
225,7.326,153.7197053
226,7.359,153.7202802
227,7.392,153.7196171
228,7.425,153.2821335
229,7.458,153.2826712
230,7.491,153.2842236
231,7.524,153.4285041
232,7.557,153.4293364
233,7.590,153.4302575
234,7.623,153.6294907
235,7.656,153.6292824
236,7.689,153.630626
237,7.722,153.3679331
238,7.755,153.3678945
239,7.788,153.3688768
240,7.821,153.3678221
241,7.854,153.0130671
242,7.887,153.014347
243,7.920,153.0156409
244,7.953,153.0144985
245,7.986,152.6605353
246,8.019,152.6609177
247,8.052,152.6615533
248,8.085,152.6611183
249,8.118,152.4966252
250,8.151,152.497146
251,8.184,152.4975936
252,8.217,153.2610749
253,8.250,153.2619796
254,8.283,153.262827
255,8.316,153.4042057
256,8.349,153.403708
257,8.382,153.4046301
258,8.415,153.5737649
259,8.448,153.5750357
260,8.481,153.5756887
261,8.514,153.574947
262,8.547,153.5834838
263,8.580,153.5844107
264,8.613,153.5849913
265,8.646,153.088615
266,8.679,153.0897594
267,8.712,153.0899002
268,8.745,153.0898076
269,8.778,153.2497979
270,8.811,153.2512273
