Index,Time Stamp (s),Intensity
2,0,116.862039
3,.033,116.8465504
4,.066,116.021631
5,.099,116.021765
6,.132,116.0227083
7,.165,116.0209447
8,.198,116.0226379
9,.231,117.793031
10,.264,117.7928824
11,.297,117.7951693
12,.330,116.6663291
13,.363,116.6660055
14,.396,116.6677879
15,.429,116.7962153
16,.462,116.7954114
17,.495,116.7978728
18,.528,116.4976075
19,.561,116.4982663
20,.594,116.4991623
21,.627,115.4358343
22,.660,115.4359144
23,.693,115.438016
24,.726,115.4358083
25,.759,115.5107793
26,.792,115.5102643
27,.825,115.5118808
28,.858,115.9028737
29,.891,115.9023225
30,.924,115.9039217
31,.957,115.8652778
32,.990,115.8665934
33,1.023,115.8681014
34,1.056,115.8665644
35,1.089,115.8681337
36,1.122,116.0635195
37,1.155,116.0640683
38,1.188,115.3317863
39,1.221,115.3307866
40,1.254,115.3324031
41,1.287,115.3308878
42,1.320,115.6805662
43,1.353,115.6800357
44,1.386,115.682038
45,1.419,115.6800497
46,1.452,115.5204871
47,1.485,115.5203
48,1.518,115.5227604
49,1.551,115.5207432
50,1.584,115.1046354
51,1.617,115.1050984
52,1.650,115.1065649
53,1.683,115.1214897
54,1.716,115.1206756
55,1.749,115.1226259
56,1.782,115.9895341
57,1.815,115.9904258
58,1.848,115.9922608
59,1.881,116.4548553
60,1.914,116.453831
61,1.947,116.4539969
62,1.980,116.5382817
63,2.013,116.5391078
64,2.046,116.5404924
65,2.079,116.5388826
66,2.112,116.1492057
67,2.145,116.1482489
68,2.178,116.150054
69,2.211,116.1481453
70,2.244,116.3443398
71,2.277,116.344619
72,2.310,116.3467776
73,2.343,115.4246957
74,2.376,115.4249069
75,2.409,115.4261646
76,2.442,115.3565461
77,2.475,115.3554851
78,2.508,115.3577305
79,2.541,115.3558271
80,2.574,115.5897594
81,2.607,115.5905951
82,2.640,115.5916758
83,2.673,115.5903303
84,2.706,115.6937669
85,2.739,115.6942906
86,2.772,115.6955937
87,2.805,115.6940447
88,2.838,116.20432
89,2.871,116.2035513
90,2.904,115.2678125
91,2.937,115.2672415
92,2.970,115.268004
93,3.003,115.5049248
94,3.036,115.505814
95,3.069,115.5065268
96,3.102,115.4889612
97,3.135,115.4882055
98,3.168,115.4897487
99,3.201,115.4879225
100,3.234,115.1666855
101,3.267,115.1670076
102,3.300,115.1687394
103,3.333,115.1669497
104,3.366,114.8477884
105,3.399,114.8487105
106,3.432,114.8498331
107,3.465,115.4593803
108,3.498,115.4601312
109,3.531,115.4607321
110,3.564,115.4597439
111,3.597,115.0613194
112,3.630,115.0616725
113,3.663,114.9016782
114,3.696,114.9016054
115,3.729,114.9029851
116,3.762,114.901372
117,3.795,114.6584819
118,3.828,114.6592366
119,3.861,114.6607022
120,3.894,114.6590591
121,3.927,114.658844
122,3.960,114.1602778
123,3.993,114.1601968
124,4.026,114.1621836
125,4.059,114.6611941
126,4.092,114.6621697
127,4.125,114.6632287
128,4.158,113.5521398
129,4.191,113.552432
130,4.224,113.5531602
131,4.257,113.7959013
132,4.290,113.7951861
133,4.323,113.7972849
134,4.356,113.6987486
135,4.389,113.6987876
136,4.422,113.7004562
137,4.455,113.5474421
138,4.488,113.5470322
139,4.521,113.5485446
140,4.554,113.5468755
141,4.587,113.1391426
142,4.620,113.139007
143,4.653,113.1406838
144,4.686,113.7305662
145,4.719,113.729496
146,4.752,113.7316344
147,4.785,113.7291835
148,4.818,114.0050675
