Index,Time Stamp (s),Intensity
3,0,133.6008338
4,.033,133.588831
5,.066,133.5877869
6,.099,133.3248539
7,.132,133.3244686
8,.165,133.3259756
9,.198,133.3245284
10,.231,133.3261179
11,.264,133.2076495
12,.297,133.2078694
13,.330,133.2089038
14,.363,132.7680498
15,.396,132.7673587
16,.429,132.7689048
17,.462,132.7673433
18,.495,134.2309062
19,.528,134.2309819
20,.561,134.5322685
21,.594,134.5313855
22,.627,134.5326109
23,.660,134.1519049
24,.693,134.1514651
25,.726,134.1521822
26,.759,134.1512823
27,.792,133.9282764
28,.825,133.9282788
29,.858,133.9297729
30,.891,133.928424
31,.924,133.1023722
32,.957,133.1026861
33,.990,133.1032451
34,1.023,132.3016016
35,1.056,132.3032813
36,1.089,132.3036646
37,1.122,132.644675
38,1.155,132.6436
39,1.188,132.6446851
40,1.221,132.0742776
41,1.254,132.074457
42,1.287,132.0756308
43,1.320,132.0745978
44,1.353,131.8177146
45,1.386,131.8172917
46,1.419,131.8183584
47,1.452,131.8173809
48,1.485,131.8184399
49,1.518,131.1187736
50,1.551,131.1182108
51,1.584,131.1194049
52,1.617,130.9692641
53,1.650,130.9688016
54,1.683,130.9702845
55,1.716,130.9687838
56,1.749,131.0192057
57,1.782,131.0181207
58,1.815,130.9576061
59,1.848,130.956603
60,1.881,130.9574156
61,1.914,131.1895703
62,1.947,131.1885938
63,1.980,131.1907195
64,2.013,131.1886473
65,2.046,131.6406544
66,2.079,131.639891
67,2.112,131.6414063
68,2.145,131.9630237
69,2.178,131.9614935
70,2.211,131.9635523
71,2.244,131.9612302
72,2.277,131.6235759
73,2.310,131.6238918
74,2.343,131.6246586
75,2.376,131.921862
76,2.409,131.9209848
77,2.442,131.9224257
78,2.475,131.1900603
79,2.508,131.1900863
80,2.541,131.1906703
81,2.574,131.1896383
82,2.607,132.2544334
83,2.640,132.2536193
84,2.673,132.2551693
85,2.706,131.9169874
86,2.739,131.9149127
87,2.772,131.9165755
88,2.805,131.9149436
89,2.838,132.353221
90,2.871,132.3524908
91,2.904,132.3512722
92,2.937,132.3505633
93,2.970,132.3521427
94,3.003,132.8500309
95,3.036,132.8493552
96,3.069,133.3426509
97,3.102,133.3424397
98,3.135,133.1944633
99,3.168,133.1947275
100,3.201,133.1953593
101,3.234,133.1945587
102,3.267,133.1953009
103,3.300,133.0218065
104,3.333,133.0209346
105,3.366,133.0269932
106,3.399,133.0250747
107,3.432,133.0269343
108,3.465,133.0252045
109,3.498,133.2670361
110,3.531,133.2655835
111,3.564,133.2671079
112,3.597,133.2654215
113,3.630,132.9646441
114,3.663,132.964076
115,3.696,132.9649923
116,3.729,133.1816893
117,3.762,133.1823409
118,3.795,133.183464
119,3.828,133.1653573
120,3.861,133.1651635
121,3.894,133.1657325
122,3.927,133.1644444
123,3.960,133.8588045
124,3.993,133.8591122
125,4.026,133.8605049
126,4.059,133.8590828
127,4.092,133.4004244
128,4.125,133.4000342
129,4.158,133.4006549
130,4.191,133.4002175
131,4.224,133.4008329
132,4.257,132.6481867
133,4.290,132.9031134
134,4.323,132.9023963
135,4.356,132.9040234
136,4.389,132.9403414
137,4.422,132.9397608
138,4.455,132.9412717
139,4.488,132.9492448
140,4.521,132.9481187
141,4.554,132.9497425
142,4.587,132.9480782
143,4.620,133.2678564
144,4.653,133.2684987
145,4.686,133.2701485
146,4.719,133.2686984
147,4.752,132.9446914
148,4.785,132.9446595
149,4.818,132.9461651
150,4.851,132.7458584
151,4.884,132.7457813
152,4.917,132.74625
153,4.950,131.7588006
154,4.983,131.7590403
155,5.016,131.7605459
156,5.049,131.7590967
157,5.082,131.8888315
158,5.115,131.8881149
159,5.148,131.8894864
160,5.181,131.8882321
161,5.214,132.1646422
162,5.247,132.1646899
163,5.280,132.1651452
164,5.313,132.1647372
165,5.346,132.3695095
166,5.379,132.3678684
167,5.412,132.369469
168,5.445,133.1291189
169,5.478,133.1285667
170,5.511,133.0977561
171,5.544,133.0951987
172,5.577,133.0973597
173,5.610,133.0952792
174,5.643,132.4050757
175,5.676,132.4045433
176,5.709,132.4056679
177,5.742,132.4045129
178,5.775,132.4673703
179,5.808,132.4672405
180,5.841,132.4684708
181,5.874,132.2116286
182,5.907,132.2104244
183,5.940,132.2126119
184,5.973,132.2517858
185,6.006,132.2506747
186,6.039,132.2521711
