Index,Time Stamp (s),Intensity
11,0,144.372637
12,.033,144.3611844
13,.066,144.783248
14,.099,146.1638397
15,.132,146.1630358
16,.165,146.1635315
17,.198,146.9953168
18,.231,146.9930358
19,.264,146.9946957
20,.297,146.9509708
21,.330,146.9508449
22,.363,146.9516093
23,.396,147.8087746
24,.429,147.8071258
25,.462,147.8081795
26,.495,147.8068552
27,.528,147.8081766
28,.561,147.6583049
29,.594,147.6564183
30,.627,147.6579519
31,.660,147.9208507
32,.693,147.9210503
33,.726,147.9218654
34,.759,147.9208083
35,.792,148.0484004
36,.825,148.0485127
37,.858,148.0491344
38,.891,149.1198519
39,.924,149.1186878
40,.957,149.1195071
41,.990,149.7872685
42,1.023,149.7867183
43,1.056,149.787256
44,1.089,149.7758603
45,1.122,149.7742284
46,1.155,149.7750285
47,1.188,149.6052566
48,1.221,149.6047979
49,1.254,149.6045554
50,1.287,149.6042795
51,1.320,148.8755314
52,1.353,148.8753231
53,1.386,148.8753964
54,1.419,148.8756144
55,1.452,153.9305777
56,1.485,153.9296779
57,1.518,153.9307272
58,1.551,144.5032899
59,1.584,144.5030691
60,1.617,144.5035802
61,1.650,144.5026128
62,1.683,153.5658102
63,1.716,153.5664005
64,1.749,153.5671412
65,1.782,150.5846894
66,1.815,150.5842877
67,1.848,150.5855459
68,1.881,150.5842819
69,1.914,150.0787032
70,1.947,150.0788127
71,1.980,150.0793798
72,2.013,150.0788961
73,2.046,150.1051365
74,2.079,150.1051789
75,2.112,150.1059915
76,2.145,147.5022184
77,2.178,147.5007653
78,2.211,147.5024913
79,2.244,149.6836989
80,2.277,149.6816999
81,2.310,149.6834052
82,2.343,149.5761449
83,2.376,149.5751191
84,2.409,149.5757687
85,2.442,150.5266922
86,2.475,150.5243248
87,2.508,150.5255175
88,2.541,150.1920086
89,2.574,150.1911844
90,2.607,150.192363
91,2.640,150.1896224
92,2.673,150.6585098
93,2.706,150.6584823
94,2.739,150.6589024
95,2.772,150.6586169
96,2.805,151.0536844
97,2.838,151.0517921
98,2.871,151.0529157
99,2.904,150.4157354
100,2.937,150.4154143
101,2.970,150.4159872
102,3.003,150.2686516
103,3.036,150.2668924
104,3.069,150.2683676
105,3.102,148.4459698
106,3.135,148.4451124
107,3.168,148.4461179
108,3.201,148.444933
109,3.234,148.4462809
110,3.267,149.5843977
111,3.300,149.5830628
112,3.333,149.5848712
113,3.366,149.8592626
114,3.399,149.8588696
115,3.432,149.8601693
116,3.465,149.8587109
117,3.498,149.8601726
118,3.531,150.0754012
119,3.564,150.0745867
120,3.597,151.2057571
121,3.630,151.2055893
122,3.663,150.6847661
123,3.696,150.6845824
124,3.729,150.6853598
125,3.762,150.6844141
126,3.795,151.0389212
127,3.828,151.0371938
128,3.861,151.0383763
129,3.894,150.547133
130,3.927,150.5475294
131,3.960,150.5477209
132,3.993,150.5474455
133,4.026,150.6748307
134,4.059,150.6742525
135,4.092,150.675081
136,4.125,150.951522
137,4.158,150.9522193
138,4.191,150.9521894
139,4.224,150.9520317
140,4.257,150.2098886
141,4.290,150.2089067
142,4.323,150.2096971
143,4.356,150.2087645
144,4.389,150.7932282
145,4.422,150.793219
146,4.455,150.7941749
147,4.488,150.9542279
148,4.521,150.95462
149,4.554,150.9550555
150,4.587,150.9544136
151,4.620,150.9545298
152,4.653,151.1905059
153,4.686,151.1905054
154,4.719,151.4465943
155,4.752,151.4454707
156,4.785,151.4469309
157,4.818,151.445462
158,4.851,151.1843789
159,4.884,151.1820592
160,4.917,151.5596513
161,4.950,151.5589188
