Index,Time Stamp (s),Intensity
3,0,162.0600641
4,.033,162.0425149
5,.066,162.0496272
6,.099,163.9621205
7,.132,163.9625096
8,.165,163.9638604
9,.198,163.9625453
10,.231,163.3593764
11,.264,163.3608343
12,.297,163.3613797
13,.330,163.360748
14,.363,162.5874002
15,.396,162.5876066
16,.429,162.5890794
17,.462,162.5872936
18,.495,163.7071861
19,.528,163.7087915
20,.561,163.7094338
21,.594,163.7087948
22,.627,163.7413383
23,.660,163.7409592
24,.693,166.7756636
25,.726,166.7761217
26,.759,166.7774875
27,.792,167.2886092
28,.825,167.2910436
29,.858,167.2910258
30,.891,167.2907378
31,.924,166.3380773
32,.957,166.3376606
33,.990,166.3361931
34,1.023,166.3365611
35,1.056,166.0438402
36,1.089,166.044892
37,1.122,167.432105
38,1.155,167.4324339
39,1.188,167.4337505
40,1.221,167.4326726
41,1.254,168.9512206
42,1.287,168.9504094
43,1.320,168.9517077
44,1.353,168.1642675
45,1.386,168.1641209
46,1.419,168.1658965
47,1.452,167.7616426
48,1.485,167.7630748
49,1.518,167.7632634
50,1.551,167.7627387
51,1.584,167.8244917
52,1.617,167.8241416
53,1.650,167.8258005
54,1.683,167.8243562
55,1.716,167.8257586
56,1.749,167.0399937
57,1.782,167.0397444
58,1.815,167.0414603
59,1.848,167.7935634
60,1.881,167.7949947
61,1.914,167.7953583
62,1.947,167.7947266
63,1.980,169.0959655
64,2.013,169.0966816
65,2.046,168.7653651
66,2.079,168.7649137
67,2.112,168.7663677
68,2.145,170.416072
69,2.178,170.4159553
70,2.211,170.4165678
71,2.244,170.4291131
72,2.277,170.4291016
73,2.310,170.4297444
74,2.343,170.4289265
75,2.376,170.4296287
76,2.409,170.4287982
77,2.442,169.0984925
78,2.475,169.0979543
79,2.508,167.7795636
80,2.541,167.7801804
81,2.574,167.7813373
82,2.607,169.1679249
83,2.640,169.1686656
84,2.673,169.1689333
85,2.706,173.167703
86,2.739,173.1681231
87,2.772,173.1687162
88,2.805,173.1679446
89,2.838,173.5679509
90,2.871,173.567459
91,2.904,173.5684086
92,2.937,173.0972497
93,2.970,173.0967732
94,3.003,173.0971706
95,3.036,173.0984978
96,3.069,173.0967154
97,3.102,172.2361757
98,3.135,172.2369073
99,3.168,172.2377421
100,3.201,173.1649127
101,3.234,173.1655228
102,3.267,173.1661492
103,3.300,172.04943
104,3.333,172.0500371
105,3.366,172.0508931
106,3.399,171.8532827
107,3.432,171.8538223
108,3.465,171.8548471
109,3.498,171.8534727
110,3.531,169.5286304
111,3.564,169.5293244
112,3.597,168.1744512
113,3.630,168.1746214
114,3.663,168.1755006
115,3.696,168.1742134
116,3.729,168.1754152
117,3.762,167.9018012
118,3.795,167.9006207
119,3.828,165.9843176
120,3.861,165.9854615
121,3.894,165.985707
122,3.927,165.9851418
123,3.960,165.3317515
124,3.993,165.332038
125,4.026,165.3327831
126,4.059,162.857012
127,4.092,162.8571634
128,4.125,162.8583309
129,4.158,162.8571894
130,4.191,161.6455961
131,4.224,161.6453897
132,4.257,161.6466512
133,4.290,161.6454958
134,4.323,162.2541879
135,4.356,162.2542906
136,4.389,162.2547512
137,4.422,162.2542892
138,4.455,162.2546605
139,4.488,160.9181988
140,4.521,160.917621
141,4.554,159.1413045
142,4.587,159.139307
143,4.620,157.2117236
144,4.653,157.2096754
145,4.686,157.2116291
146,4.719,155.4607514
147,4.752,155.4600251
148,4.785,155.461495
149,4.818,155.4598809
150,4.851,155.4614082
151,4.884,155.1196152
152,4.917,155.1209602
153,4.950,153.9346417
154,4.983,153.9334881
155,5.016,153.9349339
156,5.049,153.9331472
157,5.082,153.6747835
158,5.115,153.673941
159,5.148,153.6745303
160,5.181,153.6737973
161,5.214,153.8219903
162,5.247,153.8207711
163,5.280,153.821753
164,5.313,154.383194
165,5.346,154.3817294
166,5.379,154.3830252
167,5.412,153.1001259
168,5.445,153.1000714
169,5.478,153.1008898
170,5.511,153.0999769
171,5.544,152.0577797
172,5.577,152.0581838
173,5.610,152.0591334
174,5.643,152.0582248
175,5.676,151.4282793
176,5.709,151.4285658
177,5.742,151.4296576
178,5.775,151.4282089
179,5.808,151.6901418
180,5.841,151.6898322
181,5.874,151.5576596
182,5.907,151.5574045
183,5.940,151.5550458
184,5.973,149.8970525
185,6.006,149.8966802
186,6.039,149.8977537
187,6.072,149.8966382
188,6.105,150.567066
189,6.138,150.5676374
190,6.171,150.5682152
191,6.204,149.9792106
192,6.237,149.9784795
193,6.270,149.9790871
194,6.303,150.4302908
195,6.336,150.4304384
196,6.369,150.4312442
197,6.402,150.4300342
198,6.435,150.4311883
199,6.468,150.9022333
200,6.501,150.9010494
201,6.534,150.9022714
202,6.567,150.9198336
203,6.600,150.9183642
204,6.633,150.9199986
205,6.666,152.7557108
206,6.699,152.7551611
207,6.732,152.75629
208,6.765,151.1821504
209,6.798,151.181711
210,6.831,151.1826625
211,6.864,151.1818311
212,6.897,151.1827903
213,6.930,151.4199793
214,6.963,151.4201138
215,6.996,151.4209303
216,7.029,151.4904847
217,7.062,151.4906737
218,7.095,151.4906202
219,7.128,151.4904249
220,7.161,151.559062
221,7.194,151.5593784
222,7.227,151.0745129
223,7.260,151.0740451
224,7.293,151.0754798
225,7.326,151.0737968
226,7.359,150.7462235
227,7.392,150.7453318
228,7.425,150.3685566
229,7.458,150.3666536
230,7.491,150.3677628
231,7.524,150.3666889
232,7.557,149.4380112
233,7.590,149.4374875
234,7.623,149.4389902
235,7.656,148.9989091
236,7.689,148.9988696
237,7.722,148.9999127
238,7.755,148.9986728
239,7.788,148.5182292
240,7.821,148.5176698
241,7.854,148.5190668
242,7.887,148.3239106
243,7.920,148.3233994
244,7.953,148.3237934
245,7.986,147.9449074
246,8.019,147.9428111
247,8.052,147.94485
248,8.085,147.9430584
249,8.118,147.8701172
250,8.151,147.8711381
251,8.184,147.871875
252,8.217,147.870803
253,8.250,147.8718041
254,8.283,146.4520385
255,8.316,146.4513735
