Index,Time Stamp (s),Intensity
3,0,130.9070829
4,.033,130.8945076
5,.066,130.8908169
6,.099,132.6575183
7,.132,132.6573331
8,.165,132.6578781
9,.198,132.657432
10,.231,133.1408092
11,.264,133.1380676
12,.297,133.1402363
13,.330,133.1380777
14,.363,132.9307272
15,.396,132.9311101
16,.429,132.9320076
17,.462,132.930667
18,.495,133.1765741
19,.528,133.1760113
20,.561,133.1768036
21,.594,133.1757687
22,.627,133.098396
23,.660,133.0976085
24,.693,136.3880575
25,.726,136.3887563
26,.759,136.3899571
27,.792,136.9049875
28,.825,136.9049773
29,.858,136.9061772
30,.891,136.9051066
31,.924,138.467214
32,.957,138.4671865
33,.990,138.4678844
34,1.023,138.4666131
35,1.056,137.7522777
36,1.089,137.7526471
37,1.122,137.399157
38,1.155,137.3982542
39,1.188,137.3990943
40,1.221,137.3980536
41,1.254,137.3968099
42,1.287,137.3969686
43,1.320,137.3976003
44,1.353,138.0944502
45,1.386,138.0938334
46,1.419,138.0951027
47,1.452,137.8461396
48,1.485,137.8448997
49,1.518,137.8452812
50,1.551,137.8449031
51,1.584,137.6362934
52,1.617,137.6356346
53,1.650,137.6366127
54,1.683,137.6352662
55,1.716,137.636534
56,1.749,139.7636979
57,1.782,139.7628492
58,1.815,139.7639313
59,1.848,140.2230744
60,1.881,140.222297
61,1.914,140.223627
62,1.947,140.223655
63,1.980,142.1412563
64,2.013,142.1419097
65,2.046,141.4753805
66,2.079,141.4746653
67,2.112,141.4756342
68,2.145,141.8645192
69,2.178,141.8645409
70,2.211,141.8649441
71,2.244,142.0685923
72,2.277,142.0693268
73,2.310,142.0696171
74,2.343,142.068899
75,2.376,142.0696128
76,2.409,142.0688354
77,2.442,143.5840128
78,2.475,143.5828482
79,2.508,143.3267834
80,2.541,143.3267337
81,2.574,143.3274421
82,2.607,142.9533507
83,2.640,142.9531684
84,2.673,142.9547478
85,2.706,141.7859587
86,2.739,141.7845274
87,2.772,141.7855348
88,2.805,141.7843668
89,2.838,141.7809254
90,2.871,141.7811015
91,2.904,141.7794097
92,2.937,141.5223987
93,2.970,141.5222859
94,3.003,141.5223423
95,3.036,141.5221388
96,3.069,141.5224084
97,3.102,141.7226071
98,3.135,141.7221446
99,3.168,141.7233488
100,3.201,141.831208
101,3.234,141.8310523
102,3.267,141.832039
103,3.300,141.8745501
104,3.333,141.8743962
105,3.366,141.8750598
106,3.399,142.2810663
107,3.432,142.2792004
108,3.465,142.2804109
109,3.498,142.2787886
110,3.531,142.5667048
111,3.564,142.5670534
112,3.597,142.8477276
113,3.630,142.8470935
114,3.663,142.8483386
115,3.696,142.846901
116,3.729,142.8483324
117,3.762,142.8497328
118,3.795,142.8503347
119,3.828,142.1697733
120,3.861,142.1685856
121,3.894,142.1694517
122,3.927,142.1684549
123,3.960,143.8821615
124,3.993,143.8815369
125,4.026,143.8820293
126,4.059,143.5577223
127,4.092,143.5579634
128,4.125,143.5583719
129,4.158,143.5579302
130,4.191,143.6658589
131,4.224,143.6668803
132,4.257,143.6668977
133,4.290,143.6668784
134,4.323,143.4874759
135,4.356,143.4859997
136,4.389,143.4871783
137,4.422,143.4856409
138,4.455,143.487173
139,4.488,143.8595809
140,4.521,143.8596094
141,4.554,146.5853438
142,4.587,146.5836873
143,4.620,146.8219589
144,4.653,146.8207706
145,4.686,146.8215297
146,4.719,147.7826355
147,4.752,147.7802927
148,4.785,147.7815254
149,4.818,147.7802551
150,4.851,147.7815856
151,4.884,148.7880411
152,4.917,148.7876886
153,4.950,151.0057938
154,4.983,151.0053221
155,5.016,151.005762
156,5.049,151.0051071
157,5.082,149.5029331
158,5.115,149.5037105
159,5.148,149.504089
160,5.181,149.5035624
161,5.214,149.2210436
162,5.247,149.2210966
163,5.280,149.2216999
164,5.313,149.8718957
165,5.346,149.8710055
166,5.379,149.8720366
167,5.412,150.7776529
168,5.445,150.7772497
169,5.478,150.7781385
170,5.511,150.7771113
171,5.544,149.8727961
172,5.577,149.8721021
173,5.610,149.8728424
174,5.643,149.872011
175,5.676,150.3982697
176,5.709,150.3978578
177,5.742,150.3982909
178,5.775,150.3975902
179,5.808,149.7049749
180,5.841,149.7036613
181,5.874,149.714238
182,5.907,149.7135161
183,5.940,149.7147786
184,5.973,150.5560667
185,6.006,150.5559838
186,6.039,150.5568109
187,6.072,150.5556708
188,6.105,149.7486699
189,6.138,149.7484462
190,6.171,149.7491898
191,6.204,150.4469372
192,6.237,150.4458401
193,6.270,150.4460166
194,6.303,150.0156525
195,6.336,150.0149156
196,6.369,150.0154586
197,6.402,150.0146475
198,6.435,150.0155411
199,6.468,150.9015987
200,6.501,150.9016778
201,6.534,150.9021171
202,6.567,150.5853612
203,6.600,150.5842072
204,6.633,150.5850313
205,6.666,149.8825357
206,6.699,149.8809158
207,6.732,149.8819864
208,6.765,149.1928135
209,6.798,149.1930117
210,6.831,149.1933406
211,6.864,149.1930609
212,6.897,149.193261
213,6.930,148.9670052
214,6.963,148.9676466
215,6.996,148.9683362
216,7.029,149.3295206
217,7.062,149.3291257
218,7.095,149.3303954
219,7.128,149.3290432
220,7.161,148.7220428
