Index,Time Stamp (s),Intensity
1,0,145.7684867
2,.033,146.0457354
3,.066,146.0392347
4,.099,146.0384732
5,.132,145.9350439
6,.165,145.934741
7,.198,145.9355753
8,.231,146.1159992
9,.264,146.1154543
10,.297,146.1160079
11,.330,146.7770616
12,.363,146.7761511
13,.396,146.777513
14,.429,146.1349296
15,.462,146.1350728
16,.495,146.1354258
17,.528,146.1347584
18,.561,145.7021494
19,.594,145.7016826
20,.627,145.7022102
21,.660,146.5131274
22,.693,146.5134404
23,.726,146.5137968
24,.759,146.5134467
25,.792,145.6431515
26,.825,145.6423592
27,.858,145.6431467
28,.891,145.569648
29,.924,145.569145
30,.957,145.5697227
31,.990,145.5696962
32,1.023,145.5696962
33,1.056,147.4936637
34,1.089,147.4937915
35,1.122,147.4941995
36,1.155,147.3804625
37,1.188,147.3810614
38,1.221,147.381507
39,1.254,147.3808536
40,1.287,146.9329572
41,1.320,146.9322762
42,1.353,146.9325121
43,1.386,146.485829
44,1.419,146.4841469
45,1.452,146.4854837
46,1.485,145.9131588
47,1.518,145.9127836
48,1.551,145.2882186
49,1.584,145.2882041
50,1.617,145.2886434
51,1.650,145.288234
52,1.683,146.2207325
53,1.716,146.2213971
54,1.749,146.2215702
55,1.782,146.2036801
56,1.815,146.2026143
57,1.848,146.2033729
58,1.881,146.2024947
59,1.914,146.3909896
60,1.947,146.3897049
61,1.980,146.3912731
62,2.013,146.3904413
63,2.046,146.6772338
64,2.079,146.6765803
65,2.112,146.677594
66,2.145,145.4202836
67,2.178,145.419715
68,2.211,145.4205946
69,2.244,146.0900588
70,2.277,146.0903328
71,2.310,146.0912741
72,2.343,146.09042
73,2.376,146.6190046
74,2.409,146.6198158
75,2.442,146.6198761
76,2.475,146.6198066
77,2.508,145.396467
78,2.541,145.3944391
79,2.574,145.3959447
80,2.607,146.2826259
81,2.640,146.2816184
82,2.673,146.2827725
83,2.706,143.1297835
84,2.739,143.1305083
85,2.772,143.1309274
86,2.805,143.2658927
87,2.838,143.2658825
88,2.871,143.2666001
89,2.904,143.265843
90,2.937,143.4001128
91,2.970,143.3994088
92,3.003,143.3995423
93,3.036,143.1453887
94,3.069,143.1454027
95,3.102,143.1463976
96,3.135,143.2280488
97,3.168,143.227989
98,3.201,143.2288696
99,3.234,143.2281067
100,3.267,143.5362471
101,3.300,143.5352812
102,3.333,143.5362109
103,3.366,143.0559949
104,3.399,143.0559843
105,3.432,143.056548
106,3.465,143.0558656
107,3.498,142.3407499
108,3.531,142.3412577
109,3.564,142.3414063
110,3.597,142.3407716
111,3.630,141.9105232
112,3.663,141.9105975
113,3.696,141.910746
114,3.729,143.5407046
115,3.762,143.5417356
116,3.795,143.5417597
117,3.828,143.5419941
118,3.861,143.3033058
119,3.894,143.3037119
120,3.927,143.3040504
121,3.960,143.5871827
122,3.993,143.5869165
123,4.026,143.5873934
124,4.059,143.7156978
125,4.092,143.7152238
126,4.125,143.7166218
127,4.158,144.3606009
128,4.191,144.3599262
129,4.224,144.3611318
130,4.257,143.3411015
131,4.290,143.3399513
132,4.323,143.3407147
133,4.356,143.3399619
134,4.389,143.8886709
135,4.422,143.8888817
136,4.455,143.8892766
137,4.488,144.1733285
138,4.521,144.1737307
139,4.554,144.1745202
140,4.587,144.1740307
141,4.620,145.4178964
142,4.653,145.4187505
143,4.686,145.4191527
144,4.719,147.145203
