Index,Time Stamp (s),Intensity
2,0,179.2920486
3,.033,179.2867241
4,.066,179.2882427
5,.099,179.9195491
6,.132,179.9195525
7,.165,177.8373905
8,.198,177.8363575
9,.231,177.8370501
10,.264,180.6797338
11,.297,180.6800694
12,.330,180.6810248
13,.363,178.8504133
14,.396,178.8493605
15,.429,178.8501635
16,.462,178.5811815
17,.495,178.5801919
18,.528,178.58144
19,.561,177.6399035
20,.594,177.6395655
21,.627,177.640504
22,.660,177.6396345
23,.693,177.0638764
24,.726,177.0642294
25,.759,177.0643417
26,.792,176.5206713
27,.825,176.5198307
28,.858,176.5207215
29,.891,176.9494647
30,.924,176.9477971
31,.957,176.9474532
32,.990,178.6289916
33,1.023,178.6283396
34,1.056,178.6292675
35,1.089,179.5812486
36,1.122,179.5804495
37,1.155,179.5813821
38,1.188,179.5802083
39,1.221,179.4722608
40,1.254,179.4730531
41,1.287,179.4737355
42,1.320,179.4726929
43,1.353,179.492852
44,1.386,179.4927098
45,1.419,179.3571378
46,1.452,179.3573944
47,1.485,179.3579085
48,1.518,179.356969
49,1.551,178.330531
50,1.584,178.3316295
51,1.617,178.3319478
52,1.650,178.0331158
53,1.683,178.0327059
54,1.716,178.033588
55,1.749,178.0325333
56,1.782,178.0334317
57,1.815,179.1035446
58,1.848,179.1038489
59,1.881,179.1042024
60,1.914,179.0365562
61,1.947,179.0355551
62,1.980,179.0359775
63,2.013,179.0363628
64,2.046,179.5762563
65,2.079,179.5757451
66,2.112,176.5261101
67,2.145,176.5267019
68,2.178,176.5272053
69,2.211,176.0426283
70,2.244,176.0425313
71,2.277,176.0434062
72,2.310,180.3843157
73,2.343,180.3852069
74,2.376,180.38504
75,2.409,180.3851698
76,2.442,180.3849735
77,2.475,179.9230584
78,2.508,179.9210528
79,2.541,179.9221841
80,2.574,179.807174
81,2.607,179.8071938
82,2.640,179.8078154
83,2.673,179.1475588
84,2.706,179.1474561
85,2.739,179.14822
86,2.772,179.784768
87,2.805,179.784619
88,2.838,179.7847598
89,2.871,179.7844888
90,2.904,179.1856337
91,2.937,179.1854311
92,2.970,179.1860884
93,3.003,176.2745009
94,3.036,176.2752267
95,3.069,176.2757586
96,3.102,176.2752132
97,3.135,176.2756766
98,3.168,176.3965418
99,3.201,176.3980011
100,3.234,176.3978631
101,3.267,177.8807137
102,3.300,177.8798954
103,3.333,177.880502
104,3.366,177.5465312
105,3.399,177.5475299
106,3.432,177.5475694
107,3.465,177.7066155
108,3.498,177.7076476
109,3.531,177.7076669
110,3.564,178.2143904
111,3.597,178.2146166
112,3.630,178.2150231
113,3.663,178.2146291
114,3.696,177.4542269
115,3.729,177.4545583
116,3.762,177.455652
117,3.795,177.4543938
118,3.828,177.7666802
119,3.861,177.7660118
120,3.894,177.7669821
121,3.927,179.4373274
122,3.960,179.4376837
123,3.993,179.4382571
124,4.026,179.3456322
125,4.059,179.3452464
126,4.092,179.3459553
127,4.125,179.3450998
128,4.158,180.0208213
129,4.191,180.0200227
130,4.224,180.0206038
131,4.257,180.0196928
132,4.290,179.3675801
133,4.323,179.3688267
134,4.356,179.3686574
135,4.389,179.0004649
136,4.422,179.0009361
137,4.455,179.0013445
138,4.488,179.0007894
139,4.521,178.6889135
140,4.554,178.6890938
141,4.587,178.6899725
142,4.620,178.3368996
143,4.653,178.3373433
144,4.686,178.3377189
145,4.719,181.6566647
146,4.752,181.6563349
147,4.785,181.6573476
148,4.818,179.8602976
149,4.851,179.8605035
150,4.884,179.8614366
151,4.917,179.9795679
152,4.950,179.9801046
153,4.983,179.980909
154,5.016,181.4995939
155,5.049,181.4997082
156,5.082,181.499784
157,5.115,181.4994541
158,5.148,181.4997497
159,5.181,180.8339535
160,5.214,180.8339959
161,5.247,178.4793302
162,5.280,178.4790345
163,5.313,178.479741
164,5.346,178.478792
165,5.379,178.4796918
166,5.412,179.1336646
167,5.445,179.133382
168,5.478,179.1337707
169,5.511,178.5308854
170,5.544,178.5310475
171,5.577,178.5309674
172,5.610,178.5308251
173,5.643,179.5297217
174,5.676,179.5299735
175,5.709,179.530409
176,5.742,177.4468422
177,5.775,177.4467188
178,5.808,177.7445722
179,5.841,177.7445857
180,5.874,177.744931
181,5.907,177.7433145
182,5.940,178.3707547
183,5.973,178.3707904
184,6.006,178.3706211
185,6.039,178.3703246
186,6.072,177.991033
187,6.105,177.9909341
188,6.138,177.9914275
189,6.171,177.7713609
190,6.204,177.772201
191,6.237,177.7723645
192,6.270,177.7719435
193,6.303,177.8954331
194,6.336,177.8951162
195,6.369,177.8535127
196,6.402,177.8534669
197,6.435,177.8537278
198,6.468,177.8530295
199,6.501,177.8535325
200,6.534,177.9181872
201,6.567,177.9193721
202,6.600,177.9190519
203,6.633,176.8004017
204,6.666,176.8012148
205,6.699,176.8020438
206,6.732,176.8011931
207,6.765,175.8149122
208,6.798,175.8152754
209,6.831,175.8159799
210,6.864,174.3038686
211,6.897,174.3039183
212,6.930,174.304877
213,6.963,174.3051249
214,6.996,175.5479818
215,7.029,175.5484158
216,7.062,175.5482663
217,7.095,175.5482287
218,7.128,175.5017911
219,7.161,175.5019705
220,7.194,175.5018697
221,7.227,174.6592704
222,7.260,174.6590312
223,7.293,174.4396644
224,7.326,174.4386183
225,7.359,174.4399325
226,7.392,174.4384746
227,7.425,176.0646846
228,7.458,176.065678
229,7.491,176.065271
230,7.524,175.6071123
231,7.557,175.6069927
232,7.590,175.6071774
233,7.623,173.913845
234,7.656,173.9125005
235,7.689,173.9134177
236,7.722,173.912119
237,7.755,174.8540331
238,7.788,174.8531867
239,7.821,174.8538059
240,7.854,174.8531684
241,7.887,173.8850005
242,7.920,173.8837731
243,7.953,173.884972
244,7.986,173.9786569
245,8.019,173.9783213
246,8.052,173.9785079
247,8.085,173.9775448
248,8.118,171.4212944
249,8.151,171.4206838
250,8.184,171.4210219
251,8.217,173.842553
252,8.250,173.8426215
253,8.283,173.8438604
254,8.316,175.32746
255,8.349,175.3283256
256,8.382,175.3292096
257,8.415,175.9462823
258,8.448,175.9467911
259,8.481,175.9474248
260,8.514,175.9465181
261,8.547,174.1114796
262,8.580,174.1110759
263,8.613,174.1114058
264,8.646,173.8643726
265,8.679,173.8643644
266,8.712,173.8647893
267,8.745,173.8638532
268,8.778,174.3764849
269,8.811,174.376617
270,8.844,174.3777334
271,8.877,175.963099
272,8.910,175.9629181
273,8.943,175.964157
274,8.976,175.531005
275,9.009,175.5319112
276,9.042,175.5315495
277,9.075,171.9699947
278,9.108,171.971168
279,9.141,171.9713489
280,9.174,171.9708608
281,9.207,171.9713127
282,9.240,172.7680908
283,9.273,172.7697825
284,9.306,172.7698577
285,9.339,173.5441401
286,9.372,173.5446325
287,9.405,173.545381
288,9.438,173.5444035
289,9.471,172.3088334
290,9.504,172.3096836
291,9.537,172.9250878
292,9.570,172.9252865
293,9.603,172.926155
294,9.636,172.6538764
295,9.669,172.6535204
296,9.702,172.6538937
297,9.735,172.6531674
298,9.768,173.925787
299,9.801,173.9264935
300,9.834,173.926657
301,9.867,173.9240413
302,9.900,174.0843205
303,9.933,174.0838903
304,9.966,174.0848794
305,9.999,174.7227855
306,10.032,174.7233859
307,10.065,174.7236902
308,10.098,174.7228655
309,10.131,174.4180512
310,10.164,174.4180401
311,10.197,173.1157229
312,10.230,173.1168075
313,10.263,173.1168123
314,10.296,173.116481
315,10.329,173.1168432
316,10.362,173.0688614
317,10.395,173.0696422
318,10.428,173.0701032
319,10.461,173.0696894
320,10.494,172.7990625
321,10.527,172.7989627
322,10.560,172.8003516
323,10.593,173.4840712
324,10.626,173.4842289
325,10.659,173.4850371
326,10.692,172.7167646
327,10.725,172.7166652
328,10.758,172.7173206
329,10.791,172.5564173
330,10.824,172.5563619
331,10.857,172.5530715
332,10.890,172.5534597
333,10.923,171.7992998
334,10.956,171.7996711
335,10.989,171.8001355
336,11.022,173.2442612
337,11.055,173.2441122
338,11.088,173.2440659
339,11.121,172.3856067
340,11.154,172.386115
341,11.187,172.3857002
342,11.220,172.3856202
343,11.253,172.2272227
344,11.286,172.226182
345,11.319,172.227513
346,11.352,171.1022463
347,11.385,171.103398
348,11.418,171.1035311
349,11.451,171.1031718
350,11.484,173.3678414
351,11.517,173.3679524
352,11.550,173.3682012
353,11.583,175.1106559
354,11.616,175.1100637
355,11.649,175.111346
356,11.682,175.1098896
357,11.715,173.3318663
358,11.748,173.3316729
359,11.781,173.331848
360,11.814,173.3313257
361,11.847,175.3886203
362,11.880,175.3890697
363,11.913,175.390094
364,11.946,177.0564154
365,11.979,177.0568697
366,12.012,177.0576283
367,12.045,175.6032475
368,12.078,175.6027402
369,12.111,175.6030363
370,12.144,174.9203091
371,12.177,174.9207065
372,12.210,174.921645
373,12.243,175.3747405
374,12.276,175.3743899
375,12.309,175.3748553
376,12.342,174.9302783
377,12.375,174.9303125
378,12.408,174.9306414
379,12.441,174.9300646
380,12.474,174.9306597
381,12.507,174.2890914
382,12.540,174.2886039
383,12.573,174.0399441
384,12.606,174.0396132
385,12.639,174.0395766
386,12.672,174.0392318
387,12.705,173.4161685
388,12.738,173.4167337
389,12.771,173.4173621
390,12.804,173.8975559
391,12.837,173.8967877
392,12.870,173.8970327
393,12.903,173.898167
394,12.936,173.8966614
395,12.969,173.7082649
396,13.002,173.7082822
397,13.035,173.7089458
398,13.068,172.9658647
399,13.101,172.9662505
400,13.134,172.9655483
401,13.167,172.9659404
402,13.200,173.3188088
403,13.233,173.3187997
404,13.266,173.0698462
405,13.299,173.0710918
406,13.332,173.0710976
407,13.365,173.2643191
408,13.398,173.264768
409,13.431,173.2655498
410,13.464,173.2645047
411,13.497,172.7835807
412,13.530,172.7826799
413,13.563,172.7836208
414,13.596,173.158737
415,13.629,173.1593846
416,13.662,173.1598495
417,13.695,173.1592588
418,13.728,174.0220298
419,13.761,174.0227127
420,13.794,174.0229779
421,13.827,173.4742887
422,13.860,173.4749561
423,13.893,173.4755372
424,13.926,173.4745259
425,13.959,173.6808391
426,13.992,173.6810122
427,14.025,173.6814699
428,14.058,173.891903
429,14.091,173.8928024
430,14.124,173.8927262
431,14.157,173.8925487
432,14.190,173.9323317
433,14.223,173.9325241
434,14.256,173.932771
435,14.289,174.9080917
436,14.322,174.9080411
437,14.355,174.9083136
438,14.388,174.9075743
439,14.421,174.9082417
440,14.454,173.8161376
441,14.487,173.8151693
442,14.520,173.9661709
443,14.553,173.9653617
444,14.586,173.9659062
445,14.619,173.0968885
446,14.652,173.0965032
447,14.685,173.0973891
448,14.718,173.4935508
449,14.751,173.493356
450,14.784,173.4940157
