Index,Time Stamp (s),Intensity
4,0,157.8364714
5,.033,157.827119
6,.066,157.8184558
7,.099,157.8332523
8,.132,157.6080175
9,.165,157.6087302
10,.198,157.6094198
11,.231,157.8600386
12,.264,157.8602214
13,.297,157.8613059
14,.330,157.8601804
15,.363,159.5879258
16,.396,159.5886912
17,.429,159.5893572
18,.462,158.9089492
19,.495,158.9086386
20,.528,158.9096335
21,.561,158.9082595
22,.594,160.485882
23,.627,160.4855454
24,.660,160.4866006
25,.693,160.4854225
26,.726,161.459579
27,.759,161.4601794
28,.792,162.3073471
29,.825,162.3067805
30,.858,162.3075955
31,.891,161.9777426
32,.924,161.9754335
33,.957,161.9774122
34,.990,161.9790437
35,1.023,163.8369806
36,1.056,163.8373302
37,1.089,163.8381472
38,1.122,163.8372676
39,1.155,163.7389005
40,1.188,163.7399084
41,1.221,163.7405917
42,1.254,162.789605
43,1.287,162.7893166
44,1.320,162.7898129
45,1.353,162.7898674
46,1.386,162.9287162
47,1.419,162.9296301
48,1.452,162.9309915
49,1.485,163.9619391
50,1.518,163.960135
51,1.551,163.9599142
52,1.584,164.9201943
53,1.617,164.9165895
54,1.650,164.9192096
55,1.683,164.9195915
56,1.716,165.4940133
57,1.749,165.4917858
58,1.782,165.49405
59,1.815,165.4939443
60,1.848,165.4712124
61,1.881,165.4685007
62,1.914,165.4667241
63,1.947,166.1106332
64,1.980,166.1077807
65,2.013,166.0859587
66,2.046,166.0822203
67,2.079,166.0834978
68,2.112,166.0852378
69,2.145,165.7441763
70,2.178,165.7417597
71,2.211,165.74337
72,2.244,165.7437654
73,2.277,164.5771195
74,2.310,164.5765398
75,2.343,164.577433
76,2.376,164.5776162
77,2.409,164.6237886
78,2.442,164.6224069
79,2.475,164.6243803
80,2.508,163.5448982
81,2.541,163.5444951
82,2.574,163.5452151
83,2.607,162.8212196
84,2.640,162.81966
85,2.673,162.8210595
86,2.706,160.5574079
87,2.739,160.5571571
88,2.772,160.5576235
89,2.805,160.557948
90,2.838,160.5442863
91,2.871,160.5428135
92,2.904,160.5419194
93,2.937,160.5441175
94,2.970,160.3354046
95,3.003,160.3307933
96,3.036,160.3341136
97,3.069,160.7678709
98,3.102,160.7673563
99,3.135,160.767867
100,3.168,160.7680686
101,3.201,161.5229726
102,3.234,161.5209033
103,3.267,162.6442038
104,3.300,162.6416725
105,3.333,162.643167
106,3.366,162.6450318
107,3.399,161.1981298
108,3.432,161.1957084
109,3.465,161.1982986
110,3.498,158.5856752
111,3.531,158.5853964
112,3.564,158.5860986
113,3.597,158.5862056
114,3.630,158.8715881
115,3.663,158.8699865
116,3.696,158.8710161
117,3.729,159.6882726
118,3.762,159.6880488
119,3.795,159.6887611
120,3.828,160.9380011
121,3.861,160.9368803
122,3.894,160.9352768
123,3.927,160.9369661
124,3.960,160.520911
125,3.993,160.5185084
126,4.026,160.5204813
127,4.059,160.5213667
128,4.092,160.3309327
129,4.125,160.3313325
130,4.158,160.3319551
131,4.191,159.1999359
132,4.224,159.1993895
133,4.257,159.2008116
134,4.290,159.2007837
135,4.323,158.3768774
136,4.356,158.3761994
137,4.389,158.3766083
138,4.422,158.7942216
139,4.455,158.7923327
140,4.488,158.7937539
141,4.521,158.3689815
142,4.554,158.368139
143,4.587,158.3687249
144,4.620,158.7352132
145,4.653,158.7338821
146,4.686,158.7362659
147,4.719,158.7362317
148,4.752,158.7363609
149,4.785,160.0646243
150,4.818,160.0646605
151,4.851,159.7853385
152,4.884,159.784538
153,4.917,159.7861888
154,4.950,159.7870346
155,4.983,159.9300675
156,5.016,159.9308015
157,5.049,159.9313084
158,5.082,160.4085696
159,5.115,160.4090596
160,5.148,160.4093258
161,5.181,160.408682
162,5.214,160.5081462
163,5.247,160.5066826
164,5.280,160.5077985
165,5.313,160.1087881
166,5.346,160.1087336
167,5.379,160.109919
168,5.412,160.1084081
169,5.445,161.385177
170,5.478,161.384036
171,5.511,161.3853887
172,5.544,161.383722
173,5.577,161.4434481
174,5.610,161.444007
175,5.643,161.4450752
176,5.676,162.263505
177,5.709,162.2641739
178,5.742,162.286399
179,5.775,162.2838175
180,5.808,162.2861058
181,5.841,162.2848491
182,5.874,161.6444845
183,5.907,161.6395216
184,5.940,161.6437293
185,5.973,161.6470173
186,6.006,161.842365
187,6.039,161.8420047
188,6.072,161.5959684
189,6.105,161.5956289
190,6.138,161.5967708
191,6.171,161.5963445
192,6.204,161.543913
193,6.237,161.5446933
194,6.270,161.545789
195,6.303,161.5446224
196,6.336,161.5016802
197,6.369,161.5031014
198,6.402,161.5036285
199,6.435,163.5997512
200,6.468,163.6009857
201,6.501,163.6015779
202,6.534,163.3345877
203,6.567,163.3342988
204,6.600,163.3350969
205,6.633,163.3337264
206,6.666,163.3351239
207,6.699,164.2011482
208,6.732,164.2023413
209,6.765,164.2028853
210,6.798,162.9914299
211,6.831,162.9877112
212,6.864,162.9868557
213,6.897,162.9881477
214,6.930,163.9209954
215,6.963,163.9189226
216,6.996,164.360352
217,7.029,164.3585928
218,7.062,164.3600829
219,7.095,164.2159751
220,7.128,164.2163431
221,7.161,164.2165832
222,7.194,164.2160745
223,7.227,164.882784
224,7.260,164.8835605
225,7.293,164.8841305
226,7.326,165.3237514
227,7.359,165.3240693
228,7.392,165.3250743
229,7.425,165.3242289
230,7.458,165.1398958
231,7.491,165.1406279
232,7.524,165.1412678
233,7.557,162.3887158
234,7.590,162.3895245
235,7.623,162.3909968
236,7.656,162.3913826
237,7.689,162.3909274
238,7.722,161.9878549
239,7.755,161.9892221
240,7.788,162.1756641
241,7.821,162.1698211
242,7.854,162.1672791
243,7.887,162.1705348
244,7.920,162.1712973
245,7.953,162.44356
246,7.986,162.4425222
247,8.019,162.4448428
248,8.052,163.0916257
249,8.085,163.0900675
250,8.118,163.0921933
251,8.151,163.0919145
252,8.184,163.2378086
253,8.217,163.2383483
254,8.250,163.2415278
255,8.283,163.2399093
256,8.316,163.242297
257,8.349,163.2420674
258,8.382,162.3718895
259,8.415,162.3698302
260,8.448,162.3660084
261,8.481,162.364795
262,8.514,162.3663566
263,8.547,162.3663633
264,8.580,162.3664849
265,8.613,162.1077522
266,8.646,162.1075762
267,8.679,160.2609616
268,8.712,160.2611593
269,8.745,160.2621528
270,8.778,160.2626505
271,8.811,159.7363132
272,8.844,159.7349986
273,8.877,159.7366734
274,8.910,159.5390239
275,8.943,159.5377021
276,8.976,159.5390177
277,9.009,159.5387838
278,9.042,160.4387384
279,9.075,160.4378125
280,9.108,160.4383468
281,9.141,159.9390456
282,9.174,159.9394117
283,9.207,159.9393962
284,9.240,159.9396692
285,9.273,159.9395057
286,9.306,159.1851403
287,9.339,159.1854702
288,9.372,159.1862751
289,9.405,159.2878641
290,9.438,159.2856887
291,9.471,159.2879798
292,9.504,159.691576
293,9.537,159.6900936
294,9.570,159.692745
295,9.603,159.2764318
296,9.636,159.2742945
297,9.669,159.2765451
298,9.702,158.7958656
299,9.735,158.7947984
300,9.768,158.7969869
301,9.801,158.7144309
302,9.834,158.7135325
303,9.867,158.7152421
304,9.900,158.7163947
305,9.933,158.7160436
306,9.966,158.9597603
307,9.999,158.9568263
308,10.032,158.9591951
309,10.065,158.3870197
310,10.098,158.3849937
311,10.131,158.3876664
312,10.164,157.2510431
313,10.197,157.2505618
314,10.230,157.251209
315,10.263,155.8304451
316,10.296,155.8286097
317,10.329,155.8296875
318,10.362,155.8300887
319,10.395,155.6414892
320,10.428,155.6386767
321,10.461,155.6409153
322,10.494,155.6401225
323,10.527,155.6411121
324,10.560,155.4518321
325,10.593,155.4508541
326,10.626,155.4530117
327,10.659,154.529551
328,10.692,154.5279876
329,10.725,154.0170978
330,10.758,154.0147632
331,10.791,154.0123085
332,10.824,152.7067419
333,10.857,152.7029895
334,10.890,152.7075024
335,10.923,152.711563
336,10.956,152.2373486
337,10.989,152.2367935
338,11.022,152.2384312
339,11.055,152.2383883
340,11.088,151.597513
341,11.121,151.5969965
342,11.154,151.5984153
343,11.187,151.6468962
344,11.220,151.6457118
345,11.253,151.6461063
346,11.286,152.1910508
347,11.319,152.1884486
348,11.352,152.1905522
349,11.385,152.4426649
350,11.418,152.4398274
351,11.451,152.442309
352,11.484,152.4420288
353,11.517,153.3764299
354,11.550,153.3753221
355,11.583,153.3769049
356,11.616,153.4396345
357,11.649,153.4380975
358,11.682,153.4392057
359,11.715,153.4394232
360,11.748,153.4391773
361,11.781,152.1316845
362,11.814,152.1306563
363,11.847,152.1331076
364,11.880,152.1332538
365,11.913,153.2207658
366,11.946,153.219593
367,11.979,151.5927329
368,12.012,151.5926871
369,12.045,151.5930059
370,12.078,152.1659795
371,12.111,152.1661077
372,12.144,152.1665741
373,12.177,152.1673582
374,12.210,152.4433001
375,12.243,152.4425487
376,12.276,152.4432784
377,12.309,152.9208102
378,12.342,152.9193118
379,12.375,152.9207494
380,12.408,152.9211212
381,12.441,153.5246325
382,12.474,153.5245949
383,12.507,153.5247106
384,12.540,153.4344305
385,12.573,153.4339709
386,12.606,153.435164
387,12.639,154.3197926
388,12.672,154.3169637
389,12.705,154.3187413
390,12.738,154.2775868
391,12.771,154.2757234
392,12.804,154.2736391
393,12.837,154.2754509
394,12.870,154.2767448
395,12.903,155.0041807
396,12.936,155.0031916
397,12.969,155.004484
398,13.002,153.9760735
399,13.035,153.9761183
400,13.068,153.9771971
401,13.101,153.9777045
402,13.134,153.7327522
403,13.167,153.7328096
404,13.200,154.3339998
405,13.233,154.3335388
406,13.266,154.3343297
407,13.299,153.7406457
408,13.332,153.7389511
409,13.365,153.740475
410,13.398,153.7403303
411,13.431,153.986046
412,13.464,153.9850429
413,13.497,153.986208
414,13.530,153.9863677
415,13.563,153.6399407
416,13.596,153.6379736
417,13.629,153.6399204
418,13.662,153.6099508
419,13.695,153.6071267
420,13.728,153.6094898
421,13.761,153.6064815
422,13.794,154.2672391
423,13.827,154.2629331
424,13.860,154.2669845
425,13.893,154.3679548
426,13.926,154.3652035
427,13.959,154.3671441
428,13.992,155.4452378
429,14.025,155.4434443
430,14.058,155.4450169
431,14.091,155.4446909
432,14.124,155.7140379
433,14.157,155.7123486
434,14.190,155.7137071
435,14.223,155.7137847
436,14.256,155.4098664
437,14.289,155.4080503
438,14.322,155.4094493
439,14.355,154.5548712
440,14.388,154.5534279
441,14.421,154.5542284
442,14.454,155.9280372
443,14.487,155.9272815
444,14.520,155.9301471
445,14.553,154.1340967
446,14.586,154.1326871
447,14.619,154.1340784
448,14.652,154.1342969
449,14.685,153.7625545
450,14.718,153.7608449
451,14.751,153.7601191
452,14.784,152.2992033
453,14.817,152.2943793
454,14.850,152.2990456
455,14.883,152.2989265
456,14.916,151.8278438
457,14.949,151.8274576
458,14.982,151.8285243
459,15.015,151.9722603
460,15.048,151.9708695
461,15.081,151.972404
462,15.114,151.9723818
463,15.147,152.1958811
464,15.180,152.1942197
465,15.213,152.1615172
466,15.246,152.1606303
467,15.279,152.1613985
468,15.312,152.1615504
469,15.345,152.1612871
470,15.378,152.161536
471,15.411,151.5868899
472,15.444,151.5858676
473,15.477,151.0513305
474,15.510,151.0502667
475,15.543,151.0516662
476,15.576,151.0518673
477,15.609,150.9055213
478,15.642,150.9036304
479,15.675,150.2086796
480,15.708,150.2069888
481,15.741,150.2047695
482,15.774,149.5564853
483,15.807,149.5523939
484,15.840,149.5573717
485,15.873,149.5561179
486,15.906,148.8959833
487,15.939,148.8953795
488,15.972,148.8960349
489,16.005,148.6128308
490,16.038,148.6110798
491,16.071,148.6129326
492,16.104,148.6125506
493,16.137,149.308125
494,16.170,149.3082668
495,16.203,149.3089906
496,16.236,149.3096648
497,16.269,148.5574552
498,16.302,148.5565268
499,16.335,148.5574498
500,16.368,148.7560846
501,16.401,148.7545129
502,16.434,148.7563132
503,16.467,148.7559197
