Index,Time Stamp (s),Intensity
8,0,151.9681718
9,.033,151.9609727
10,.066,151.9600448
11,.099,151.9599262
12,.132,151.9599547
13,.165,151.9599489
14,.198,149.5380937
15,.231,149.5368388
16,.264,149.5367202
17,.297,149.536453
18,.330,149.5366773
19,.363,149.5364029
20,.396,149.5367159
21,.429,148.2171031
22,.462,148.2172328
23,.495,148.217079
24,.528,148.2173968
25,.561,148.217324
26,.594,148.2173066
27,.627,149.3825965
28,.660,149.3832369
29,.693,149.3826466
30,.726,149.3829813
31,.759,149.3825936
32,.792,149.3833594
33,.825,149.38326
34,.858,149.3833849
35,.891,148.8631969
36,.924,148.8627927
37,.957,148.8631356
38,.990,148.8628294
39,1.023,148.863044
40,1.056,148.862718
41,1.089,148.8630512
42,1.122,148.9689236
43,1.155,148.9686709
44,1.188,148.9686815
45,1.221,148.968724
46,1.254,148.96871
47,1.287,148.9687457
48,1.320,148.9687124
49,1.353,150.0993364
50,1.386,150.1008049
51,1.419,150.1001664
52,1.452,151.1696783
53,1.485,151.1696494
54,1.518,151.1695308
55,1.551,151.6255401
56,1.584,151.6259737
57,1.617,151.6257089
58,1.650,151.6259389
59,1.683,151.625583
60,1.716,151.6258849
61,1.749,151.6253231
62,1.782,152.2688908
63,1.815,152.2691435
64,1.848,152.2691324
65,1.881,152.2689361
66,1.914,152.2693417
67,1.947,152.2689849
68,1.980,152.2692887
69,2.013,152.3375424
70,2.046,152.3374257
71,2.079,152.3372791
72,2.112,152.3373447
73,2.145,152.3372198
74,2.178,152.3372198
75,2.211,153.3330589
76,2.244,153.3319719
77,2.277,153.3317998
78,2.310,153.3322685
79,2.343,153.7330469
80,2.376,153.7322097
81,2.409,153.7317173
82,2.442,153.7320795
83,2.475,154.371317
84,2.508,154.3714781
85,2.541,154.3711656
86,2.574,154.890069
87,2.607,154.8889415
88,2.640,154.8890003
89,2.673,154.8891083
90,2.706,155.1555392
91,2.739,155.1540577
92,2.772,155.1540611
93,2.805,155.5174836
94,2.838,155.5169102
95,2.871,155.0948148
96,2.904,155.0947825
97,2.937,155.0947627
98,2.970,155.0947801
99,3.003,155.360653
100,3.036,155.360991
101,3.069,155.3608907
102,3.102,155.3611092
103,3.135,155.6526905
104,3.168,155.6528057
105,3.201,155.6529499
106,3.234,155.6904654
107,3.267,155.6895727
108,3.300,155.6895038
109,3.333,156.1857451
110,3.366,156.1855927
111,3.399,156.1854268
112,3.432,156.1856756
113,3.465,156.3094864
114,3.498,156.3103265
115,3.531,156.3100241
116,3.564,156.2814333
117,3.597,156.2810373
118,3.630,156.2811753
119,3.663,156.2809047
120,3.696,157.1790254
121,3.729,157.1781207
122,3.762,157.1777966
123,3.795,157.1777021
124,3.828,156.7942125
125,3.861,156.7940987
126,3.894,156.7936781
127,3.927,156.7937225
128,3.960,156.4268818
129,3.993,156.4268682
130,4.026,156.4269179
131,4.059,156.4268335
132,4.092,156.4269049
133,4.125,156.4267732
134,4.158,156.1038122
135,4.191,156.1034341
136,4.224,156.1034539
137,4.257,156.1035701
138,4.290,156.1034201
139,4.323,156.1033878
140,4.356,156.103466
141,4.389,156.9893822
142,4.422,156.9885774
143,4.455,156.988641
144,4.488,156.9884428
145,4.521,156.9886834
146,4.554,156.9884057
147,4.587,156.9886936
148,4.620,156.3893369
149,4.653,156.3901722
150,4.686,156.3903033
151,4.719,156.3906086
152,4.752,156.3905035
153,4.785,156.3902059
154,4.818,157.0204731
155,4.851,157.0207731
156,4.884,157.0202681
157,4.917,157.0204741
158,4.950,157.0202459
159,4.983,157.0204721
160,5.016,157.0202006
161,5.049,158.0944223
162,5.082,158.0949219
163,5.115,158.0949142
164,5.148,158.0948076
165,5.181,158.0950145
166,5.214,158.0948187
167,5.247,158.0948958
168,5.280,158.0948259
169,5.313,157.9756882
170,5.346,157.9755044
171,5.379,158.0726789
172,5.412,158.0731154
173,5.445,158.073004
174,5.478,158.0731346
175,5.511,158.7300637
176,5.544,158.7298843
177,5.577,158.7301133
178,5.610,158.8424957
179,5.643,158.8421349
180,5.676,158.8421962
181,5.709,158.8404364
182,5.742,158.5701553
183,5.775,158.5703337
184,5.808,158.5756805
185,5.841,158.5752339
186,5.874,158.5749132
187,5.907,158.574958
188,5.940,158.5165418
189,5.973,158.5163812
190,6.006,158.5165422
191,6.039,158.497798
192,6.072,158.4972507
193,6.105,158.4978472
194,6.138,158.4973139
195,6.171,158.7750072
196,6.204,158.7748905
197,6.237,158.7750149
198,6.270,158.7750492
199,6.303,158.5821518
200,6.336,158.5803709
201,6.369,158.580435
202,6.402,158.5801563
203,6.435,158.5527469
204,6.468,158.5530001
205,6.501,156.7907509
206,6.534,156.7897328
207,6.567,156.7901042
208,6.600,156.7899412
209,6.633,156.6557026
210,6.666,156.6553675
211,6.699,156.6575617
212,6.732,156.668411
213,6.765,156.6677103
214,6.798,156.6683179
215,6.831,156.6679302
216,6.864,156.667173
217,6.897,156.6670033
218,6.930,157.419279
